TF	anova.time	anova.gene.regulation	anova.interaction	fdr.time	fdr.gene.regulation	fdr.interaction
BCL3	4.93313915548022e-22	2.38807152715353e-05	4.17283859380724e-07	7.17547513524396e-22	2.93916495649666e-05	1.1127569583486e-06
CEBPB	3.48604728893086e-49	6.05239156356242e-11	0.000244109551549803	7.96810808898483e-49	1.0759807224111e-10	0.000390575282479685
cJun	8.69385209983887e-74	1.51658654351801e-12	5.37276824162808e-11	3.47754083993555e-73	3.03317308703602e-12	4.29821459330246e-10
CTCF	2.32196096794826e-28	0.00680037891123582	0.0715862317860144	4.12793060968579e-28	0.00680037891123582	0.0818128363268736
EP300	2.73436357145894e-108	2.86610112397168e-23	1.41253400419071e-14	4.3749817143343e-107	1.52858726611823e-22	2.26005440670513e-13
FOSL2	3.54770628291591e-28	5.34177107333814e-16	0.000233998785929901	5.67633005266546e-28	1.4244722862235e-15	0.000390575282479685
H3K27ac	0.416327780615037	1.12094073169775e-19	8.24370359902665e-05	0.43967151685941	4.48376292679101e-19	0.000164874071980533
H3K4me1	0.380250379234262	3.88528564123616e-26	0.209898719241227	0.434571861982014	3.10822851298893e-25	0.223891967190642
H3K4me2	3.6841840822277e-40	0.00143170517099568	0.0129064021888675	7.36836816445539e-40	0.00152715218239539	0.0172085362518234
H3K4me3	0.43967151685941	8.58276753528386e-07	0.0541549567066398	0.43967151685941	1.14436900470451e-06	0.0666522544081721
H3K9me3	4.4298899312603e-05	4.33712155659888e-05	0.609532344924064	5.90651990834707e-05	4.95671035039872e-05	0.609532344924064
HES2	3.79405002175152e-92	6.28926355738778e-14	0.0007545882990642	3.03524001740122e-91	1.43754595597435e-13	0.00109758298045702
JunB	3.35729158258611e-86	1.06601485824265e-17	5.52705438920451e-06	1.79055551071259e-85	3.41124754637648e-17	1.26332671753246e-05
NR3C1	0.0426658808428719	6.3191148192154e-74	1.01904938164472e-07	0.0525118533450731	1.01105837107446e-72	3.2609580212631e-07
RAD21	8.73394082573061e-54	9.80390221306417e-08	2.21654201578724e-08	2.79486106423379e-53	1.42602214008206e-07	1.18215574175319e-07
SMC3	1.33044193879119e-49	4.86725460456089e-09	3.85553275969632e-08	3.54784517010983e-49	7.78760736729742e-09	1.54221310387853e-07
