TF	gene.regulation	time1	time2	p.value
EP300	down-regulated	30	0	0.0294572739399412
EP300	down-regulated	60	0	0.0827187270332572
EP300	down-regulated	120	0	0.0178850297111822
EP300	down-regulated	180	0	0.194753894223108
EP300	down-regulated	240	0	0.0448601250369536
EP300	down-regulated	300	0	0.11958334503957
EP300	down-regulated	360	0	0.140837949980608
EP300	down-regulated	420	0	0.0415940618287082
EP300	down-regulated	480	0	0.120673840289616
EP300	down-regulated	600	0	0.24554298327625
EP300	down-regulated	720	0	0.0317469748002035
H3K27ac	down-regulated	30	0	0.35024171943341
H3K27ac	down-regulated	60	0	0.193866235071117
H3K27ac	down-regulated	120	0	0.0928002337989042
H3K27ac	down-regulated	180	0	0.0437781378397907
H3K27ac	down-regulated	240	0	0.0277877949878504
H3K27ac	down-regulated	300	0	0.0406421996950596
H3K27ac	down-regulated	360	0	0.0466007812490481
H3K27ac	down-regulated	420	0	0.0272598865858633
H3K27ac	down-regulated	480	0	0.0288564926143511
H3K27ac	down-regulated	600	0	0.017156350032496
H3K27ac	down-regulated	720	0	0.040836750225705
H3K4me1	down-regulated	30	0	0.85755762833882
H3K4me1	down-regulated	60	0	0.814624146846503
H3K4me1	down-regulated	120	0	0.435638618254694
H3K4me1	down-regulated	180	0	0.38495645941496
H3K4me1	down-regulated	240	0	0.234878845267165
H3K4me1	down-regulated	300	0	0.0995334908726712
H3K4me1	down-regulated	360	0	0.377563308640696
H3K4me1	down-regulated	420	0	0.23419814969809
H3K4me1	down-regulated	480	0	0.228617998820082
H3K4me1	down-regulated	600	0	0.0229443803230865
H3K4me1	down-regulated	720	0	0.0993849817751139
NR3C1	down-regulated	30	0	0.000169049362599542
NR3C1	down-regulated	60	0	0.0401858307263874
NR3C1	down-regulated	120	0	0.29564869279504
NR3C1	down-regulated	180	0	0.597538074048557
NR3C1	down-regulated	240	0	0.590835978903367
NR3C1	down-regulated	300	0	0.679845029929427
NR3C1	down-regulated	360	0	0.717178508231609
NR3C1	down-regulated	420	0	0.782291484903715
NR3C1	down-regulated	480	0	0.905352008970318
NR3C1	down-regulated	600	0	0.389735206788035
NR3C1	down-regulated	720	0	0.987542544091919
EP300	up-regulated	30	0	0.954519943882052
EP300	up-regulated	60	0	0.365821297476809
EP300	up-regulated	120	0	0.353259052429535
EP300	up-regulated	180	0	1.69773855342453e-05
EP300	up-regulated	240	0	0.00492795130339552
EP300	up-regulated	300	0	3.04207595323038e-06
EP300	up-regulated	360	0	1.77174007522103e-06
EP300	up-regulated	420	0	0.000285213851002639
EP300	up-regulated	480	0	2.49395817267492e-07
EP300	up-regulated	600	0	6.43479153855162e-10
EP300	up-regulated	720	0	0.00150942453335547
H3K27ac	up-regulated	30	0	0.0907406749267314
H3K27ac	up-regulated	60	0	0.0251530527776231
H3K27ac	up-regulated	120	0	0.0199195230704203
H3K27ac	up-regulated	180	0	0.0108446943831911
H3K27ac	up-regulated	240	0	0.00803272902951016
H3K27ac	up-regulated	300	0	0.00150411580481764
H3K27ac	up-regulated	360	0	0.00028321991852758
H3K27ac	up-regulated	420	0	0.00140429953443624
H3K27ac	up-regulated	480	0	0.00170262807111148
H3K27ac	up-regulated	600	0	0.00217259156572247
H3K27ac	up-regulated	720	0	3.18831172626195e-05
H3K4me1	up-regulated	30	0	0.298503056032156
H3K4me1	up-regulated	60	0	0.149769633959956
H3K4me1	up-regulated	120	0	0.150248747289059
H3K4me1	up-regulated	180	0	0.038371591721577
H3K4me1	up-regulated	240	0	0.191582194939223
H3K4me1	up-regulated	300	0	0.0587093632635062
H3K4me1	up-regulated	360	0	0.0132188449516669
H3K4me1	up-regulated	420	0	0.00325236227334916
H3K4me1	up-regulated	480	0	0.00437593938251049
H3K4me1	up-regulated	600	0	0.0592220015983013
H3K4me1	up-regulated	720	0	0.00861251758756092
NR3C1	up-regulated	30	0	7.24432243272629e-11
NR3C1	up-regulated	60	0	7.22598406269e-08
NR3C1	up-regulated	120	0	2.12968622942476e-08
NR3C1	up-regulated	180	0	1.21140723590926e-07
NR3C1	up-regulated	240	0	0.00306816062415577
NR3C1	up-regulated	300	0	0.00236483069705401
NR3C1	up-regulated	360	0	6.29820053997909e-05
NR3C1	up-regulated	420	0	7.36546707646566e-10
NR3C1	up-regulated	480	0	3.89872817705648e-08
NR3C1	up-regulated	600	0	0.0247615416627436
NR3C1	up-regulated	720	0	9.90605063649558e-09
