gene.name	t00_rep1	t00_rep2	t00_rep3	t00_rep4	t05_rep1	t05_rep2	t05_rep3	t05_rep4	t1_rep1	t1_rep2	t1_rep3	t1_rep4	t2_rep1	t2_rep2	t2_rep3	t2_rep4	t3_rep1	t3_rep2	t3_rep3	t3_rep4	t4_rep1	t4_rep2	t4_rep3	t4_rep4	t5_rep2	t5_rep3	t5_rep4	t6_rep2	t6_rep3	t6_rep4	t7_rep1	t7_rep2	t7_rep3	t7_rep4	t8_rep1	t8_rep2	t8_rep3	t8_rep4	t10_rep1	t10_rep2	t10_rep3	t10_rep4	t12_rep1	t12_rep2	t12_rep3	t12_rep4	mean	pvalue
SCNN1A	135.152173913043	165.04347826087	160.336956521739	171.934782608696	182.336956521739	189.195652173913	136.152173913043	177.260869565217	809.184782608696	173.45652173913	153.173913043478	176.717391304348	630.619565217391	354.239130434783	382.978260869565	290.086956521739	461.554347826087	498.760869565217	634.195652173913	444.217391304348	324.652173913044	598.369565217391	565.065217391304	488.04347826087	702.5	753.717391304348	595.739130434783	875.641304347826	804.152173913044	856.04347826087	867.326086956522	996.010869565218	859.95652173913	930.130434782609	1069.47826086957	1211.91304347826	1143.26086956522	954.934782608696	1288.60869565217	1782.39130434783	1498.91304347826	1026.36956521739	1736.84782608696	1635.47826086957	1528.19565217391	1247.53260869565	710.17109	6.18453831121386e-23
CEP70	716.913043478261	745.586956521739	697.076086956522	830.891304347826	715.119565217391	720.130434782609	671.021739130435	855	1632.05434782609	709.271739130435	696.021739130435	639.326086956522	1309.21739130435	711.858695652174	857.608695652174	805.010869565218	1183.4347826087	903.673913043478	890.434782608696	927.826086956522	882.391304347826	1152.5652173913	1095.76086956522	1128.88043478261	1391.41304347826	1372.67391304348	1229.69565217391	1777.55434782609	1562.39130434783	1699.32608695652	1946.17391304348	1893.79347826087	1958.26086956522	1542.32608695652	2088.5	1902.52173913043	2502.36956521739	1332.84782608696	2576.21739130435	2662.71739130435	2761.20652173913	2591.29347826087	3008.89130434783	2754.09782608696	2867.39130434783	2819.15217391304	1472.12806284783	2.4195597189497e-22
ADGRG2	486.565217391304	569.054347826087	476.021739130435	620.391304347826	497.217391304348	531.771739130435	411.228260869565	605.978260869565	1248.5	607.010869565217	556.782608695652	579.826086956522	1014.48913043478	657.771739130435	667.108695652174	631.739130434783	865.402173913044	829.652173913044	869.956521739131	885.010869565218	638.521739130435	1099.09782608696	977.510869565217	999.108695652174	1367.41304347826	1249.95652173913	1241.92391304348	1452.58695652174	1545.71739130435	1447.07608695652	1349.61956521739	1649.89130434783	1598.5	1128.88043478261	1362.13043478261	1811.52173913043	1993.73913043478	1164.5652173913	1970.1847826087	2472.5652173913	2296.52173913044	1928.77173913043	2214.36956521739	2616.45652173913	2448.5652173913	2024.70652173913	1210.03002015217	5.24504362307195e-22
SLC7A7	1280.30434782609	1156.91304347826	1030.98913043478	1113.75	1172.19565217391	1081.82608695652	998.934782608696	1183.4347826087	2018.9347826087	1201.01086956522	1390.5652173913	1298.65217391304	1720.69565217391	1306.97826086957	1490.67391304348	1327	1392.17391304348	1392.96739130435	1257.83695652174	1587.89130434783	1163.73913043478	1732.13043478261	2123.73913043478	2005.73913043478	1874.36956521739	2092.80434782609	2089	2141.04347826087	2268.36956521739	2079.04347826087	2208.45652173913	2372.15217391304	2237.26086956522	1966.67391304348	2592.89130434783	2428.10869565217	2400.80434782609	1999.97826086957	2727.80434782609	2429.26086956522	2463.73913043478	2701.69565217391	3054.30434782609	3004.30434782609	2699.02173913044	3122.26086956522	1877.87875897826	1.84665530322104e-21
PAQR7	110.29347826087	95.5869565217391	102.760869565217	99.7826086956522	113.326086956522	102.913043478261	110.04347826087	108.413043478261	143.108695652174	80.5978260869565	104.869565217391	96.6521739130435	160.782608695652	114.282608695652	77.0978260869565	126.869565217391	150.891304347826	129.467391304348	125.326086956522	163.978260869565	145.434782608696	160.195652173913	174.45652173913	184.152173913043	222.152173913043	184	249.04347826087	227.391304347826	208.163043478261	169.021739130435	217.673913043478	262.217391304348	266.217391304348	183.847826086957	267.586956521739	226.369565217391	267.5	174.434782608696	288.521739130435	246.804347826087	291.282608695652	355.978260869565	272.413043478261	311.184782608696	315.141304347826	323.576086956522	185.039225152174	1.63560985714541e-20
METTL7A	10.2391304347826	15.9782608695652	3.34782608695652	4.21739130434783	8.75	4.93478260869565	17.2173913043478	5.89130434782609	110.923913043478	11.7173913043478	12.3478260869565	13	89.5	38.0652173913043	43.9456521739131	34.9347826086957	54.6086956521739	41.0869565217391	51.0869565217391	78.1739130434783	33.5326086956522	102.54347826087	87.3260869565217	98.4239130434783	90.2608695652174	91.2934782608696	105.108695652174	136.652173913043	122.673913043478	161.282608695652	138.413043478261	175.586956521739	188.826086956522	98.6195652173913	200.782608695652	157.847826086957	168.521739130435	73.3369565217391	184.152173913043	171.021739130435	239.739130434783	179.021739130435	184.152173913043	263.467391304348	306.630434782609	276.217391304348	101.85656723913	4.79896063144557e-20
ATP2B4	1084.71739130435	959.489130434783	1436.40217391304	1462.47826086957	1333.78260869565	1068.42391304348	1131.25	1545.71739130435	1486.15217391304	980.402173913044	1256.65217391304	1284.41304347826	1435.97826086957	1235.21739130435	1336.57608695652	1363.71739130435	1385.23913043478	1468.41304347826	1644.20652173913	1615.21739130435	1225.10869565217	1459.97826086957	1641.10869565217	1733.1847826087	1708.53260869565	1691.63043478261	2200.5	1666.47826086957	1779.80434782609	1893.34782608696	2180.52173913044	2267.60869565217	2450.71739130435	1971.47826086957	2098.5652173913	2152.23913043478	2421.09782608696	1976.54347826087	2400.80434782609	2547.3152173913	2498.21739130435	3086.58695652174	2524.55434782609	2530.21739130435	3034.97826086957	2688.39130434783	1790.08593667391	4.94227174144263e-20
EMP2	1796.25	2254.36956521739	1873.89130434783	1941.05434782609	1846.19565217391	2270.73913043478	1763.9347826087	2092.42391304348	4981.03260869565	1853.19565217391	1819.52173913043	1954.20652173913	4162.47826086957	2722.73913043478	2989.76086956522	2485.07608695652	4208.94565217391	3438.89130434783	3882.36956521739	3179.78260869565	3269.04347826087	4743.97826086957	4411.58695652174	3839.36956521739	5607.65217391304	5649.34782608696	4722.32608695652	6040.15217391304	6543.08695652174	6266.95652173913	5828.30434782609	6967.95652173913	7010.73913043478	4314.69565217391	6597.71739130435	6466.84782608696	7323.47826086957	3711	7533.84782608696	8632.41304347826	8072.45652173913	7987	6949.29347826087	8110.69565217391	8610.39130434783	8120.17391304348	4714.07325423913	8.72501540554523e-20
FAM111B	1054.79347826087	1133.02173913043	1088.86956521739	1229.32608695652	1085.34782608696	1166.28260869565	1102.34782608696	1213	783.413043478261	1130.05434782609	1223.04347826087	1024.59782608696	888.217391304348	955.978260869565	1004.97826086957	992.826086956522	1054.9347826087	794.336956521739	900.619565217391	891.336956521739	1011.41304347826	829.5	917.304347826087	846.923913043478	719.195652173913	815.608695652174	751.489130434783	677.54347826087	694.489130434783	871.695652173913	469.434782608696	492.021739130435	526.141304347826	836.836956521739	475.413043478261	440.358695652174	465.282608695652	976.554347826087	316.836956521739	349.891304347826	343.173913043478	490.847826086957	221.489130434783	236.402173913044	315.989130434783	393.760869565217	787.020095913044	1.2675885345958e-19
GSDME	3118.47826086957	2937.32608695652	2986.60869565217	3344.28260869565	3053.10869565217	3119.67391304348	2935.54347826087	3562.21739130435	4869.03260869565	3454.4347826087	3971.08695652174	3297.28260869565	3861.15217391304	3417.54347826087	3424.32608695652	3569.16304347826	4232.95652173913	3821.29347826087	3533.09782608696	3678.95652173913	3919.11956521739	4228.54347826087	4478.77173913043	4023.9347826087	5167.52173913044	4780.04347826087	4941.17391304348	5283.47826086957	4905.02173913044	5127.89130434783	5198.71739130435	5378.04347826087	5544.80434782609	4352.30434782609	4718.65217391304	4941.17391304348	6246.78260869565	4314.69565217391	6003.19565217391	5602.97826086957	6123.86956521739	6219.23913043478	5942.4347826087	6949.29347826087	6838.9347826087	6110.63043478261	4511.49604630435	1.79025837611635e-19
