TF	anova.time	anova.gene.regulation	anova.interaction	fdr.time	fdr.gene.regulation	fdr.interaction
BCL3	5.12494588253562e-108	8.72261398265935e-13	4.01848956099564e-21	1.02498917650712e-107	9.96870169446782e-13	1.60739582439825e-20
CEBPB	3.16244466541319e-83	1.07124107832428e-27	3.79339370369499e-09	5.0599114646611e-83	1.90442858368761e-27	6.19784499345176e-09
cJun	1.31820429178783e-157	1.35147738061137e-45	1.3321144109444e-20	4.21825373372107e-157	4.3247276179564e-45	4.26276611502208e-20
CTCF	2.38318616344956e-74	5.13305037683679e-07	0.000339378141422343	3.46645260138117e-74	5.13305037683679e-07	0.000387860733054106
EP300	0	2.07008899917717e-57	3.97097303017903e-41	0	1.10404746622782e-56	6.35355684828644e-40
FOSL2	7.29144527691102e-62	2.66705702740225e-40	3.87365312090735e-09	9.72192703588136e-62	7.11215207307266e-40	6.19784499345176e-09
H3K27ac	0.0833109475749672	6.52175078906003e-55	8.42320297078657e-13	0.0952125115142483	2.60870031562401e-54	1.92530353617979e-12
H3K4me1	0.128511951263602	5.57951854376887e-77	0.0092353024442633	0.137079414681175	4.4636148350151e-76	0.00985098927388085
H3K4me2	4.31002954809069e-114	7.83319565415601e-09	2.02285659384338e-06	9.85149610992157e-114	8.35540869776641e-09	2.69714212512451e-06
H3K4me3	0.869914930472323	1.81022427156674e-17	0.000260398566923752	0.869914930472323	2.41363236208899e-17	0.000320490543906156
H3K9me3	1.49993768270404e-12	8.08879531974488e-14	0.22636375928154	1.84607714794343e-12	9.95544039353217e-14	0.22636375928154
HES2	2.91712506200175e-230	3.38121225033333e-35	4.99771293592225e-08	2.3337000496014e-229	6.76242450066666e-35	7.26940063406873e-08
JunB	1.71290665774334e-174	5.20828550440864e-38	3.03779408288965e-11	9.13550217463114e-174	1.19046525815055e-37	6.07558816577931e-11
NR3C1	1.48984869059806e-96	1.07649620982899e-252	7.48371940815673e-20	2.64861989439655e-96	1.72239393572639e-251	1.9956585088418e-19
RAD21	1.3044377179847e-157	9.29435866276854e-22	1.07275289665442e-23	4.21825373372107e-157	1.35190671458452e-21	8.58202317323534e-23
SMC3	4.28173727404733e-145	1.13439017792279e-25	5.64845956041713e-23	1.14179660641262e-144	1.81502428467646e-25	3.0125117655558e-22
