ensemblid	gene.name	chromosome	start_peak	end_peak	gene.regulation
ENSG00000116254	CHD5	1	6157875	6158171	NA
ENSG00000116254	CHD5	1	6259609	6259920	NA
ENSG00000116251	RPL22	1	6157875	6158171	NA
ENSG00000116251	RPL22	1	6259609	6259920	NA
ENSG00000226944	AL031847.1	1	6157875	6158171	NA
ENSG00000226944	AL031847.1	1	6259609	6259920	NA
ENSG00000158286	RNF207	1	6157875	6158171	NA
ENSG00000158286	RNF207	1	6259609	6259920	NA
ENSG00000116237	ICMT	1	6157875	6158171	NA
ENSG00000116237	ICMT	1	6259609	6259920	NA
ENSG00000173673	HES3	1	6157875	6158171	NA
ENSG00000173673	HES3	1	6259609	6259920	NA
ENSG00000097021	ACOT7	1	6385718	6386028	NA
ENSG00000069812	HES2	1	6385718	6386028	NA
ENSG00000187017	ESPN	1	6385718	6386028	NA
ENSG00000215788	TNFRSF25	1	6385718	6386028	NA
ENSG00000049249	TNFRSF9	1	8004679	8005529	NA
ENSG00000049249	TNFRSF9	1	8027398	8027731	NA
ENSG00000116288	PARK7	1	8004679	8005529	NA
ENSG00000116288	PARK7	1	8027398	8027731	NA
ENSG00000116288	PARK7	1	8047721	8048011	NA
ENSG00000116285	ERRFI1	1	8004679	8005529	NA
ENSG00000116285	ERRFI1	1	8056070	8056291	NA
ENSG00000116285	ERRFI1	1	8047721	8048011	NA
ENSG00000116285	ERRFI1	1	8070844	8071359	NA
ENSG00000116285	ERRFI1	1	8083884	8084254	NA
ENSG00000116285	ERRFI1	1	8078184	8078441	NA
ENSG00000116285	ERRFI1	1	8077186	8077436	NA
ENSG00000162426	SLC45A1	1	8238248	8238501	NA
ENSG00000162426	SLC45A1	1	8258904	8260028	NA
ENSG00000162426	SLC45A1	1	8343415	8344035	NA
ENSG00000162426	SLC45A1	1	8348574	8348968	NA
ENSG00000162426	SLC45A1	1	8396931	8397349	NA
ENSG00000131686	CA6	1	9002239	9002490	NA
ENSG00000131686	CA6	1	9038330	9038624	NA
ENSG00000197241	SLC2A7	1	9002239	9002490	NA
ENSG00000197241	SLC2A7	1	9038330	9038624	NA
ENSG00000142583	SLC2A5	1	9002239	9002490	NA
ENSG00000142583	SLC2A5	1	9038330	9038624	NA
ENSG00000180758	GPR157	1	9038330	9038624	NA
ENSG00000049239	H6PD	1	9314811	9315024	NA
ENSG00000049239	H6PD	1	9331707	9332047	NA
ENSG00000171621	SPSB1	1	9314811	9315024	NA
ENSG00000171621	SPSB1	1	9331707	9332047	NA
ENSG00000142657	PGD	1	10381458	10381714	NA
ENSG00000142657	PGD	1	10388171	10388662	NA
ENSG00000142657	PGD	1	10387578	10387898	NA
ENSG00000251503	CENPS-CORT	1	10381458	10381714	NA
ENSG00000251503	CENPS-CORT	1	10388171	10388662	NA
ENSG00000251503	CENPS-CORT	1	10387578	10387898	NA
ENSG00000175279	CENPS	1	10381458	10381714	NA
ENSG00000175279	CENPS	1	10388171	10388662	NA
ENSG00000175279	CENPS	1	10387578	10387898	NA
ENSG00000241563	CORT	1	10381458	10381714	NA
ENSG00000241563	CORT	1	10388171	10388662	NA
ENSG00000241563	CORT	1	10387578	10387898	NA
ENSG00000160049	DFFA	1	10381458	10381714	NA
ENSG00000160049	DFFA	1	10388171	10388662	NA
ENSG00000160049	DFFA	1	10387578	10387898	NA
ENSG00000142655	PEX14	1	10381458	10381714	NA
ENSG00000142655	PEX14	1	10388171	10388662	NA
ENSG00000142655	PEX14	1	10387578	10387898	NA
ENSG00000116649	SRM	1	11159075	11159314	NA
ENSG00000171824	EXOSC10	1	11159075	11159314	NA
ENSG00000171819	ANGPTL7	1	11159075	11159314	NA
ENSG00000204624	DISP3	1	11569646	11569944	NA
ENSG00000116661	FBXO2	1	11569646	11569944	NA
ENSG00000132879	FBXO44	1	11569646	11569944	NA
ENSG00000116663	FBXO6	1	11569646	11569944	NA
ENSG00000162496	DHRS3	1	12528370	12528686	NA
ENSG00000162496	DHRS3	1	12540013	12540240	NA
ENSG00000162496	DHRS3	1	12595862	12596115	NA
ENSG00000162496	DHRS3	1	12604424	12604663	NA
ENSG00000204518	AADACL4	1	12595862	12596115	NA
ENSG00000204518	AADACL4	1	12604424	12604663	NA
ENSG00000142634	EFHD2	1	15356142	15356503	NA
ENSG00000142634	EFHD2	1	15356988	15357217	NA
ENSG00000162438	CTRC	1	15356142	15356503	NA
ENSG00000162438	CTRC	1	15356988	15357217	NA
ENSG00000142615	CELA2A	1	15356988	15357217	NA
ENSG00000162461	SLC25A34	1	15800239	15800813	NA
ENSG00000162461	SLC25A34	1	15799224	15799724	NA
ENSG00000162461	SLC25A34	1	15796840	15797099	NA
ENSG00000162461	SLC25A34	1	15795190	15795410	NA
ENSG00000162460	TMEM82	1	15800239	15800813	NA
ENSG00000162460	TMEM82	1	15799224	15799724	NA
ENSG00000162460	TMEM82	1	15796840	15797099	NA
ENSG00000162460	TMEM82	1	15795190	15795410	NA
ENSG00000162458	FBLIM1	1	15800239	15800813	NA
ENSG00000162458	FBLIM1	1	15799224	15799724	NA
ENSG00000162458	FBLIM1	1	15796840	15797099	NA
ENSG00000162458	FBLIM1	1	15795190	15795410	NA
ENSG00000233954	UQCRHL	1	15800239	15800813	NA
ENSG00000233954	UQCRHL	1	15799224	15799724	NA
ENSG00000233954	UQCRHL	1	15796840	15797099	NA
ENSG00000233954	UQCRHL	1	15795190	15795410	NA
ENSG00000065526	SPEN	1	15800239	15800813	NA
