ensemblid	gene.name	chromosome	start	end	gene.regulation
ENSG00000111319	SCNN1A	12	6367730	6387731	up-regulated
ENSG00000072071	ADGRL1	19	14196187	14216188	up-regulated
ENSG00000132965	ALOX5AP	13	30703478	30723479	up-regulated
ENSG00000166825	ANPEP	15	89805401	89825402	up-regulated
ENSG00000185432	METTL7A	12	50913472	50933473	up-regulated
ENSG00000179593	ALOX15B	17	8029034	8049035	up-regulated
ENSG00000187288	CIDEC	3	9870254	9890255	up-regulated
ENSG00000189221	MAOA	X	43644907	43664908	up-regulated
ENSG00000133401	PDZD2	5	31629131	31649132	up-regulated
ENSG00000117594	HSD11B1	1	209676178	209696179	up-regulated
ENSG00000069188	SDK2	17	73634445	73654446	up-regulated
ENSG00000173698	ADGRG2	X	19112637	19132638	up-regulated
ENSG00000160796	NBEAL2	3	46969683	46989684	up-regulated
ENSG00000134531	EMP1	12	13186723	13206724	up-regulated
ENSG00000159640	ACE	17	63467061	63487062	up-regulated
ENSG00000137699	TRIM29	11	120175529	120195530	up-regulated
ENSG00000163082	SGPP2	2	222414543	222434544	up-regulated
ENSG00000163993	S100P	4	6683878	6703879	up-regulated
ENSG00000039987	BEST2	19	12741702	12761703	up-regulated
ENSG00000181885	CLDN7	17	7253983	7273984	up-regulated
ENSG00000122862	SRGN	10	69078103	69098104	up-regulated
ENSG00000166589	CDH16	16	66908917	66928918	up-regulated
ENSG00000168447	SCNN1B	16	23268231	23288232	up-regulated
ENSG00000171560	FGA	4	154580745	154600746	up-regulated
ENSG00000147689	FAM83A	8	123168960	123188961	up-regulated
ENSG00000171954	CYP4F22	19	15498525	15518526	up-regulated
ENSG00000125730	C3	19	6720562	6740563	up-regulated
ENSG00000137198	GMPR	6	16228580	16248581	up-regulated
ENSG00000140519	RHCG	15	89486589	89506590	up-regulated
ENSG00000104044	OCA2	15	28089315	28109316	up-regulated
ENSG00000138356	AOX1	2	200576014	200596015	up-regulated
ENSG00000120057	SFRP5	10	97761999	97782000	up-regulated
ENSG00000111249	CUX2	12	111024165	111044166	up-regulated
ENSG00000276980	AC008760.2	19	6707742	6727743	up-regulated
ENSG00000114107	CEP70	3	138584538	138604539	up-regulated
ENSG00000151726	ACSL1	4	184816818	184836819	up-regulated
ENSG00000161638	ITGA5	12	54409266	54429267	up-regulated
ENSG00000143845	ETNK2	1	204142044	204162045	up-regulated
ENSG00000213853	EMP2	16	10570632	10590633	up-regulated
ENSG00000120675	DNAJC15	13	43013203	43033204	up-regulated
ENSG00000205420	KRT6A	12	52483257	52503258	up-regulated
ENSG00000182902	SLC25A18	22	17553450	17573451	up-regulated
ENSG00000146555	SDK1	7	3291252	3311253	up-regulated
ENSG00000197142	ACSL5	10	112364018	112384019	up-regulated
ENSG00000163283	ALPP	2	232368724	232388725	up-regulated
ENSG00000138615	CILP	15	65201473	65221474	up-regulated
ENSG00000148175	STOM	9	121360304	121380305	up-regulated
ENSG00000092068	SLC7A8	14	23173674	23193675	up-regulated
ENSG00000145569	OTULINL	5	14571792	14591793	up-regulated
ENSG00000011465	DCN	12	91172824	91192825	up-regulated
ENSG00000243709	LEFTY1	1	225901382	225921383	up-regulated
ENSG00000116701	NCF2	1	183580876	183600877	down-regulated
ENSG00000132915	PDE6A	5	149934793	149954794	up-regulated
ENSG00000132821	VSTM2L	20	37893111	37913112	up-regulated
ENSG00000143382	ADAMTSL4	1	150539369	150559370	up-regulated
ENSG00000196136	SERPINA3	14	94602377	94622378	up-regulated
ENSG00000125089	SH3TC1	4	8172072	8192073	up-regulated
ENSG00000120658	ENOX1	13	43776908	43796909	up-regulated
ENSG00000152767	FARP1	13	98132562	98152563	up-regulated
ENSG00000166741	NNMT	11	114247787	114267788	up-regulated
ENSG00000163399	ATP1A1	1	116362668	116382669	up-regulated
ENSG00000163702	IL17RC	3	9907074	9927075	up-regulated
ENSG00000171435	KSR2	12	117958983	117978984	down-regulated
ENSG00000109906	ZBTB16	11	114049593	114069594	up-regulated
ENSG00000115756	HPCAL1	2	10292889	10312890	up-regulated
ENSG00000135094	SDS	12	113416301	113436302	up-regulated
ENSG00000169894	MUC3A	7	100939534	100959535	up-regulated
ENSG00000187193	MT1X	16	56672470	56692471	up-regulated
ENSG00000250423	KIAA1210	X	119140579	119160580	up-regulated
ENSG00000177182	CLVS1	8	61047158	61067159	down-regulated
ENSG00000225511	LINC00475	9	92131298	92151299	up-regulated
ENSG00000185112	FAM43A	3	194676544	194696545	up-regulated
ENSG00000132470	ITGB4	17	75711328	75731329	up-regulated
ENSG00000080618	CPB2	13	46095033	46115034	up-regulated
ENSG00000125148	MT2A	16	56598584	56618585	up-regulated
ENSG00000158445	KCNB1	20	49474297	49494298	up-regulated
ENSG00000158104	HPD	12	121853596	121873597	up-regulated
ENSG00000182749	PAQR7	1	25861253	25881254	up-regulated
ENSG00000131746	TNS4	17	40491623	40511624	up-regulated
ENSG00000064787	BCAS1	20	54060594	54080595	down-regulated
ENSG00000124205	EDN3	20	59290443	59310444	up-regulated
ENSG00000162998	FRZB	2	182856637	182876638	up-regulated
ENSG00000119771	KLHL29	2	23375179	23395180	up-regulated
ENSG00000167513	CDT1	16	88793789	88813790	down-regulated
ENSG00000106351	AGFG2	7	100529203	100549204	up-regulated
ENSG00000162426	SLC45A1	1	8307826	8327827	up-regulated
ENSG00000173210	ABLIM3	5	149131483	149151484	up-regulated
ENSG00000173432	SAA1	11	18256260	18276261	up-regulated
ENSG00000111077	TNS2	12	53036969	53056970	up-regulated
ENSG00000197405	C5AR1	19	47280023	47300024	up-regulated
ENSG00000256268	LINC02454	12	65579111	65599112	up-regulated
ENSG00000078018	MAP2	2	209414058	209434059	up-regulated
