ensemblid	gene.name	chromosome	start	end	gene.regulation
NA	A4GALT	22	42742144	42742397	up
NA	AACS	12	125080032	125080300	up
NA	AARS	16	70331968	70332392	random
NA	ABCA2	9	137057059	137057407	random
NA	ABCG1	21	42210046	42210307	random
NA	ABHD2	15	89117788	89118237	up
NA	ABLIM2	4	8101199	8101621	up
NA	ABLIM3	5	149135440	149135756	up
NA	AC002066.1	7	116571529	116571930	random
NA	AC004477.3	17	47967929	47968191	random
NA	AC005077.4	7	76108521	76108969	random
NA	AC005840.3	12	6376115	6376498	up
NA	AC008083.2	12	47212320	47212802	down
NA	AC008760.2	19	6744899	6745260	up
NA	AC015922.3	17	15850779	15850968	random
NA	AC018629.1	17	40509902	40510654	up
NA	AC078850.1	4	128660226	128661075	up
NA	AC092118.1	16	57808077	57808347	down
NA	AC097468.3	2	219125207	219125575	random
NA	AC125257.1	17	41910250	41910461	random
NA	AC131649.2	16	10520443	10520914	up
NA	AC239800.2	1	143756067	143756343	up
NA	ACOT7	1	6385718	6386028	up
NA	ACSL1	4	184813267	184813896	up
NA	ACSL3	2	222796714	222797081	up
NA	ACSL4	X	109740039	109740456	up
NA	ACSL5	10	112332534	112332850	up
NA	ACTC1	15	34716224	34716441	down
NA	ADAM17	2	9538256	9538622	down
NA	ADAMTS7	15	78798469	78798757	up
NA	ADAMTSL4	1	150568064	150568480	up
NA	ADGRG2	X	19127585	19128044	up
NA	ADGRG6	6	142376088	142376531	up
NA	ADGRL1	19	14220165	14220218	up
NA	AFF1	4	86928023	86928329	up
NA	AGFG2	7	100545681	100546313	up
NA	AGK	7	141456366	141456618	random
NA	AK3	9	4839435	4839901	random
NA	AKAP10	17	19937512	19937928	up
NA	AKAP12	6	151232918	151233252	up
NA	AL023284.4	6	136403104	136403382	down
NA	AL133355.1	10	103908356	103908575	random
NA	AL139353.1	14	31378132	31378362	random
NA	ALOX15B	17	8041212	8041551	up
NA	ALOX5AP	13	30743308	30744045	up
NA	ANKRD2	10	97596648	97597078	up
NA	ANKRD29	18	23725785	23726200	up
NA	ANLN	7	36289854	36290546	down
NA	ANPEP	15	89812217	89812527	up
NA	ANTXR1	2	68971814	68972142	down
NA	ANXA1	9	73133972	73134421	down
NA	AOX1	2	200624647	200625059	up
NA	AP1G2	14	23579663	23579896	random
NA	APH1B	15	63367481	63367807	random
NA	APOL1	22	36250345	36250546	up
NA	ARFGAP3	22	42940231	42940593	up
NA	ARHGAP10	4	147829546	147829818	random
NA	ARSJ	4	113959222	113959505	down
NA	ASB1	2	238439489	238439801	down
NA	ASF1B	19	14220165	14220218	down
NA	ASPH	8	61657085	61657653	down
NA	ASS1	9	130451951	130452347	up
NA	ATG101	12	52147314	52147782	random
NA	ATG4A	X	108036396	108036596	up
NA	ATG5	6	106300371	106300782	random
NA	ATOH8	2	85708595	85709142	up
NA	ATP1A1	1	116376408	116376802	up
NA	ATP2B4	1	203536959	203537278	up
