ensemblid	gene.name	chromosome	start	end	gene.regulation
NA	A4GALT	22	42732299	42752300	up-regulated
NA	AACS	12	125070154	125090155	up-regulated
NA	AARS	16	70322176	70342177	random
NA	ABHD2	15	89108026	89128027	up-regulated
NA	ABLIM2	4	8091381	8111382	up-regulated
NA	ABLIM3	5	149125602	149145603	up-regulated
NA	AC004156.1	19	742761	762762	random
NA	AC005840.3	12	6366320	6386321	up-regulated
NA	AC008083.2	12	47202566	47222567	down-regulated
NA	AC008760.2	19	6735057	6755058	up-regulated
NA	AC018629.1	17	40500420	40520421	up-regulated
NA	AC018816.1	3	4977026	4997027	random
NA	AC078850.1	4	128650458	128670459	up-regulated
NA	AC079949.2	12	127116125	127136126	random
NA	AC080013.1	3	158686921	158706922	random
NA	AC083799.1	3	129898548	129918549	random
NA	AC092118.1	16	57798201	57818202	down-regulated
NA	AC097662.1	2	227378912	227398913	random
NA	AC115618.3	X	48581519	48601520	random
NA	AC131649.2	16	10510644	10530645	up-regulated
NA	AC134043.1	5	159176501	159196502	random
NA	AC239800.2	1	143746233	143766234	down-regulated
NA	ACIN1	14	23135984	23155985	random
NA	ACOT7	1	6375876	6395877	up-regulated
NA	ACSL1	4	184803577	184823578	up-regulated
NA	ACSL3	2	222786876	222806877	up-regulated
NA	ACSL4	X	109730199	109750200	up-regulated
NA	ACSL5	10	112322685	112342686	up-regulated
NA	ACTC1	15	34706307	34726308	down-regulated
NA	ACTN4	19	38674508	38694509	random
NA	ADAM17	2	9528430	9548431	down-regulated
NA	ADAMTS7	15	78788613	78808614	up-regulated
NA	ADAMTSL4	1	150558273	150578274	up-regulated
NA	ADGRG2	X	19117780	19137781	up-regulated
NA	ADGRG6	6	142366300	142386301	up-regulated
NA	ADGRL1	19	14210186	14230187	up-regulated
NA	AFF1	4	86918155	86938156	up-regulated
NA	AGFG2	7	100536037	100556038	up-regulated
NA	AJM1	9	136875104	136895105	random
NA	AKAP10	17	19927697	19947698	up-regulated
NA	AKAP12	6	151223087	151243088	up-regulated
NA	AL023284.4	6	136393277	136413278	down-regulated
NA	AL356235.1	X	77943971	77963972	random
NA	ALDH3A1	17	19743256	19763257	random
NA	ALOX15B	17	8031378	8051379	up-regulated
NA	ALOX5AP	13	30733702	30753703	up-regulated
NA	ANKRD11	16	89571318	89591319	random
NA	ANKRD2	10	97586857	97606858	up-regulated
NA	ANKRD29	18	23715984	23735985	up-regulated
NA	ANLN	7	36280322	36300323	down-regulated
NA	ANPEP	15	89802361	89822362	up-regulated
NA	ANTXR1	2	68961962	68981963	down-regulated
NA	ANXA1	9	73124203	73144204	down-regulated
NA	AOX1	2	200614852	200634853	up-regulated
NA	AP000560.1	11	74796436	74816437	random
NA	AP3M1	10	74046579	74066580	random
NA	AP3S2	15	89802361	89822362	random
NA	APOL1	22	36240419	36260420	up-regulated
NA	ARFGAP3	22	42930383	42950384	up-regulated
NA	ARL10	5	176320475	176340476	random
NA	ARSJ	4	113949346	113969347	down-regulated
NA	ASB1	2	238429616	238449617	down-regulated
NA	ASF1B	19	14210186	14230187	down-regulated
NA	ASPH	8	61647404	61667405	down-regulated
NA	ASS1	9	130442056	130462057	up-regulated
NA	ATG4A	X	108026469	108046470	up-regulated
NA	ATOH8	2	85698843	85718844	up-regulated
NA	ATP1A1	1	116366582	116386583	up-regulated
NA	ATP2B4	1	203527104	203547105	up-regulated
NA	ATP6V1C1	8	102967020	102987021	random
NA	ATXN1	6	16680988	16700989	random
NA	B4GALT1	9	33153073	33173074	up-regulated
NA	B4GALT4	3	119195436	119215437	down-regulated
NA	B4GALT5	20	49758450	49778451	up-regulated
NA	BBS12	4	122656989	122676990	up-regulated
NA	BCAR3	1	93769811	93789812	random
NA	BCAS1	20	54113925	54133926	down-regulated
NA	BCO1	16	81131444	81151445	down-regulated
NA	BCO2	11	112147447	112167448	up-regulated
NA	BDP1	5	71523237	71543238	random
NA	BEGAIN	14	100654933	100674934	down-regulated
NA	BEST2	19	12774094	12794095	up-regulated
NA	BFAR	16	14626934	14646935	up-regulated
NA	BICC1	10	58458762	58478763	down-regulated
NA	BLM	15	90657568	90677569	down-regulated
NA	BRCA1	17	43104299	43124300	down-regulated
NA	BTBD11	12	107342381	107362382	up-regulated
NA	C11orf80	11	66759025	66779026	up-regulated
NA	C14orf132	14	96094801	96114802	down-regulated
NA	C1orf21	1	184353023	184373024	up-regulated
NA	C1orf74	1	209863644	209883645	random
NA	C1RL	12	7069461	7089462	up-regulated
NA	C3	19	6735057	6755058	up-regulated
NA	C5AR1	19	47305547	47325548	up-regulated
NA	C5orf56	5	132353568	132373569	random
NA	CACNG6	19	54010332	54030333	down-regulated
NA	CALCOCO2	17	48831598	48851599	up-regulated
NA	CAV2	7	116307439	116327440	random
NA	CBLB	3	105782509	105802510	up-regulated
NA	CCDC34	11	27384850	27404851	down-regulated
NA	CCDC80	3	112643670	112663671	up-regulated
NA	CCN4	8	133172638	133192639	up-regulated
NA	CCND3	6	42035852	42055853	down-regulated
NA	CD109	6	73694344	73714345	up-regulated
NA	CD44	11	35158836	35178837	down-regulated
NA	CD59	11	33680543	33700544	up-regulated
NA	CDC34	19	614160	634161	random
NA	CDC42BPB	14	103061715	103081716	up-regulated
NA	CDC6	17	40324031	40344032	down-regulated
NA	CDCA7	2	173422224	173442225	down-regulated
