ensemblid	gene.name	chromosome	start	end	gene.regulation
ENSG00000134308	YWHAQ	2	9530997	9730998	up-delta_ep300
ENSG00000143878	RHOB	2	20347074	20547075	up-delta_ep300
ENSG00000171103	TRMT61B	2	28770309	28970310	up-delta_ep300
ENSG00000152527	PLEKHH2	2	43537260	43737261	down-delta_ep300
ENSG00000168887	C2orf68	2	85512066	85712067	up-delta_ep300
ENSG00000168874	ATOH8	2	85651344	85851345	up-delta_ep300
ENSG00000115919	KYNU	2	142777657	142977658	down-delta_ep300
ENSG00000168955	TM4SF20	2	227281995	227481996	down-delta_ep300
ENSG00000173744	AGFG1	2	227372152	227572153	down-delta_ep300
ENSG00000057019	DCBLD2	3	98801695	99001696	up-delta_ep300
ENSG00000114019	AMOTL2	3	134275479	134475480	up-delta_ep300
ENSG00000039139	DNAH5	5	13844543	14044544	up-delta_ep300
ENSG00000113719	ERGIC1	5	172734251	172934252	up-delta_ep300
ENSG00000113732	ATP6V0E1	5	172883771	173083772	up-delta_ep300
ENSG00000128512	DOCK4	7	112106411	112306412	up-delta_ep300
ENSG00000198839	ZNF277	7	112106588	112306589	down-delta_ep300
ENSG00000129422	MTUS1	8	17700917	17900918	up-delta_ep300
ENSG00000169398	PTK2	8	140902216	141102217	up-delta_ep300
ENSG00000105339	DENND3	8	141017278	141217279	up-delta_ep300
ENSG00000022567	SLC45A4	8	141208305	141408306	up-delta_ep300
ENSG00000198853	RUSC2	9	35390111	35590112	up-delta_ep300
ENSG00000107140	TESK1	9	35505262	35705263	up-delta_ep300
ENSG00000204175	GPRIN2	10	46455530	46655531	up-delta_ep300
ENSG00000138166	DUSP5	10	110397907	110597908	up-delta_ep300
ENSG00000162341	TPCN2	11	68948932	69148933	up-delta_ep300
ENSG00000109906	ZBTB16	11	113959593	114159594	up-delta_ep300
ENSG00000166741	NNMT	11	114157787	114357788	up-delta_ep300
ENSG00000196935	SRGAP1	12	63744700	63944701	up-delta_ep300
ENSG00000135111	TBX3	12	114584175	114784176	up-delta_ep300
ENSG00000165525	NEMF	14	49752821	49952822	up-delta_ep300
ENSG00000165527	ARF6	14	49793082	49993083	up-delta_ep300
ENSG00000119686	FLVCR2	14	75478620	75678621	up-delta_ep300
ENSG00000108960	MMD	17	55321924	55521925	up-delta_ep300
ENSG00000108423	TUBD1	17	59792945	59992946	down-delta_ep300
ENSG00000108443	RPS6KB1	17	59793046	59993047	down-delta_ep300
ENSG00000108469	RECQL5	17	75567189	75767190	up-delta_ep300
ENSG00000259120	SMIM6	17	75546243	75746244	down-delta_ep300
ENSG00000161526	SAP30BP	17	75567251	75767252	up-delta_ep300
ENSG00000132470	ITGB4	17	75621328	75821329	up-delta_ep300
ENSG00000108479	GALK1	17	75665711	75865712	up-delta_ep300
ENSG00000132478	UNK	17	75684806	75884807	down-delta_ep300
ENSG00000167281	RBFOX3	17	79416148	79616149	up-delta_ep300
ENSG00000073008	PVR	19	44543798	44743799	up-delta_ep300
ENSG00000186567	CEACAM19	19	44562278	44762279	up-delta_ep300
ENSG00000213892	CEACAM16	19	44599151	44799152	up-delta_ep300
ENSG00000069399	BCL3	19	44647705	44847706	up-delta_ep300
ENSG00000197405	C5AR1	19	47190023	47390024	up-delta_ep300
ENSG00000134830	C5AR2	19	47232147	47432148	up-delta_ep300
ENSG00000125863	MKKS	20	10334222	10534223	down-delta_ep300
ENSG00000197586	ENTPD6	20	25095693	25295694	up-delta_ep300
ENSG00000100994	PYGB	20	25148085	25348086	up-delta_ep300
ENSG00000101294	HM13	20	31414410	31614411	up-delta_ep300
ENSG00000125968	ID1	20	31505283	31705284	up-delta_ep300
ENSG00000149646	CNBD2	20	35854564	36054565	up-delta_ep300
ENSG00000158470	B4GALT5	20	49613878	49813879	up-delta_ep300
ENSG00000197818	SLC9A8	20	49712713	49912714	up-delta_ep300
