""	chromosome	start	end	genename	ensemblid
"1"	12	6367730	6387731	SCNN1A	ENSG00000111319
"2"	19	14196187	14216188	ADGRL1	ENSG00000072071
"3"	13	30703478	30723479	ALOX5AP	ENSG00000132965
"4"	15	89805401	89825402	ANPEP	ENSG00000166825
"5"	12	50913472	50933473	METTL7A	ENSG00000185432
"6"	17	8029034	8049035	ALOX15B	ENSG00000179593
"7"	3	9870254	9890255	CIDEC	ENSG00000187288
"8"	X	43644907	43664908	MAOA	ENSG00000189221
"9"	5	31629131	31649132	PDZD2	ENSG00000133401
"10"	1	209676178	209696179	HSD11B1	ENSG00000117594
"11"	17	73634445	73654446	SDK2	ENSG00000069188
"12"	X	19112637	19132638	ADGRG2	ENSG00000173698
"13"	3	46969683	46989684	NBEAL2	ENSG00000160796
"14"	12	13186723	13206724	EMP1	ENSG00000134531
"15"	17	63467061	63487062	ACE	ENSG00000159640
"16"	11	120175529	120195530	TRIM29	ENSG00000137699
"17"	2	222414543	222434544	SGPP2	ENSG00000163082
"18"	4	6683878	6703879	S100P	ENSG00000163993
"19"	19	12741702	12761703	BEST2	ENSG00000039987
"20"	17	7253983	7273984	CLDN7	ENSG00000181885
"21"	10	69078103	69098104	SRGN	ENSG00000122862
"22"	16	66908917	66928918	CDH16	ENSG00000166589
"23"	16	23268231	23288232	SCNN1B	ENSG00000168447
"24"	4	154580745	154600746	FGA	ENSG00000171560
"25"	8	123168960	123188961	FAM83A	ENSG00000147689
"26"	19	15498525	15518526	CYP4F22	ENSG00000171954
"27"	19	6720562	6740563	C3	ENSG00000125730
"28"	6	16228580	16248581	GMPR	ENSG00000137198
"29"	15	89486589	89506590	RHCG	ENSG00000140519
"30"	15	28089315	28109316	OCA2	ENSG00000104044
"31"	2	200576014	200596015	AOX1	ENSG00000138356
"32"	10	97761999	97782000	SFRP5	ENSG00000120057
"33"	12	111024165	111044166	CUX2	ENSG00000111249
"34"	19	6707742	6727743	AC008760.2	ENSG00000276980
"35"	3	138584538	138604539	CEP70	ENSG00000114107
"36"	4	184816818	184836819	ACSL1	ENSG00000151726
"37"	12	54409266	54429267	ITGA5	ENSG00000161638
"38"	1	204142044	204162045	ETNK2	ENSG00000143845
"39"	16	10570632	10590633	EMP2	ENSG00000213853
"40"	13	43013203	43033204	DNAJC15	ENSG00000120675
"41"	12	52483257	52503258	KRT6A	ENSG00000205420
"42"	22	17553450	17573451	SLC25A18	ENSG00000182902
"43"	7	3291252	3311253	SDK1	ENSG00000146555
"44"	10	112364018	112384019	ACSL5	ENSG00000197142
"45"	2	232368724	232388725	ALPP	ENSG00000163283
"46"	15	65201473	65221474	CILP	ENSG00000138615
"47"	9	121360304	121380305	STOM	ENSG00000148175
"48"	14	23173674	23193675	SLC7A8	ENSG00000092068
"49"	5	14571792	14591793	OTULINL	ENSG00000145569
