ensemblid	gene.name	chromosome	start	end	gene.regulation
ENSG00000228629	AC092295.1	19	36518318	36538319	random
ENSG00000188958	UTS2B	3	191320536	191340537	random
ENSG00000259915	AC017071.1	2	186346773	186366774	random
ENSG00000235978	AC018816.1	3	4877293	4897294	random
ENSG00000127364	TAS2R4	7	141768442	141788443	random
ENSG00000095932	SMIM24	19	3470542	3490543	random
ENSG00000258940	AL132639.2	14	39257061	39277062	random
ENSG00000261229	AC021483.2	15	79834304	79854305	random
ENSG00000129214	SHBG	17	7603946	7623947	random
ENSG00000171234	UGT2B7	4	69041363	69061364	random
ENSG00000253256	AC134043.1	5	159199921	159219922	random
ENSG00000204428	LY6G5C	6	31674040	31694041	random
ENSG00000257242	LINC01619	12	92132914	92152915	random
ENSG00000145491	ROPN1L	5	10431524	10451525	random
ENSG00000262691	AC040160.1	16	67251108	67271109	random
ENSG00000248180	GAPDHP60	4	87197092	87217093	random
ENSG00000272563	AC016745.2	2	113422600	113442601	random
ENSG00000105877	DNAH11	7	21533039	21553040	random
ENSG00000261087	AP003469.4	8	101159629	101179630	random
ENSG00000278879	AP000560.1	11	74822510	74842511	random
ENSG00000164683	HEY1	8	79757857	79777858	random
ENSG00000197483	ZNF628	19	55466617	55486618	random
ENSG00000169605	GKN1	2	68964573	68984574	random
ENSG00000205517	RGL3	19	11409342	11429343	random
ENSG00000260806	AL163051.1	14	96492321	96512322	random
ENSG00000135424	ITGA7	12	55706043	55726044	random
ENSG00000175414	ARL10	5	176355487	176375488	random
ENSG00000160233	LRRC3	21	44445510	44465511	random
ENSG00000262180	OCLM	1	186391046	186411047	random
ENSG00000260274	AC068338.2	15	75358155	75378156	random
ENSG00000260000	AL133338.1	6	100871471	100891472	random
ENSG00000197536	C5orf56	5	132400636	132420637	random
ENSG00000186076	AC012085.1	12	93631586	93651587	random
ENSG00000008128	CDK11A	1	1714357	1734358	random
ENSG00000202337	RNU6-8	14	32193269	32213270	random
ENSG00000226415	TPI1P1	1	76689789	76709790	random
ENSG00000229091	HSPA8P8	7	10441311	10461312	random
ENSG00000248503	AL356235.1	X	77900741	77920742	random
ENSG00000113211	PCDHB6	5	141140022	141160023	random
ENSG00000232859	LYRM9	17	27884752	27904753	random
ENSG00000145287	PLAC8	4	83127075	83147076	random
ENSG00000260942	CAPN10-DT	2	240576699	240596700	random
ENSG00000226953	NCKAP5-AS2	2	133254968	133274969	random
ENSG00000234130	AL359263.1	X	93215015	93235016	random
ENSG00000215067	ALOX12-AS1	17	7002530	7022531	random
ENSG00000180834	MAP6D1	3	183815594	183835595	random
ENSG00000155792	DEPTOR	8	119863717	119883718	random
ENSG00000141524	TMC6	17	78122407	78142408	random
ENSG00000270344	POC1B-AS1	12	89514594	89534595	random
ENSG00000253741	LNCOC1	8	142717016	142737017	random
ENSG00000152503	TRIM36	5	115170546	115190547	random
ENSG00000166839	ANKDD1A	15	64901902	64921903	random
ENSG00000198892	SHISA4	1	201878680	201898681	random
ENSG00000182107	TMEM30B	14	61271840	61291841	random
ENSG00000273702	AC091271.1	17	59609714	59629715	random
ENSG00000240207	AC080013.1	3	158722263	158742264	random
ENSG00000139679	LPAR6	13	48434704	48454705	random
ENSG00000198746	GPATCH3	1	26890467	26910468	random
ENSG00000181016	LSMEM1	7	112470853	112490854	random
ENSG00000011677	GABRA3	X	152441315	152461316	random
ENSG00000147174	GCNA	X	71568411	71588412	random
ENSG00000180867	PDIA3P1	1	147162744	147182745	random
ENSG00000185670	ZBTB3	11	62744160	62764161	random
