ensemblid	gene.name	chromosome	start	end	gene.regulation
NA	ACER3	11	76762649	76782650	down-top_ep300
NA	AGFG1	2	227378912	227398913	down-top_ep300
NA	AKR1C1	10	4999290	5019291	down-top_ep300
NA	AKR1C2	10	4999290	5019291	up-top_ep300
NA	AKR1C3	10	4999290	5019291	down-top_ep300
NA	AOPEP	9	94773414	94793415	down-top_ep300
NA	ATP6V0E1	5	172891331	172911332	down-top_ep300
NA	B4GALT5	20	49758450	49778451	up-top_ep300
NA	BABAM2	2	27789214	27809215	down-top_ep300
NA	BATF	14	75526067	75546068	up-top_ep300
NA	BTBD11	12	107342381	107362382	up-top_ep300
NA	C17orf97	17	338780	358781	up-top_ep300
NA	CCDC25	8	27862811	27882812	up-top_ep300
NA	CCL20	2	227808373	227828374	down-top_ep300
NA	CCR7	17	40532814	40552815	up-top_ep300
NA	CDC42EP3	2	37793202	37813203	down-top_ep300
NA	CRIPT	2	46638326	46658327	down-top_ep300
NA	DAW1	2	227808373	227828374	down-top_ep300
NA	DCBLD2	3	98912975	98932976	down-top_ep300
NA	DENND3	8	141008954	141028955	up-top_ep300
NA	DUSP1	5	172859278	172879279	down-top_ep300
NA	DUSP5	10	110389488	110409489	up-top_ep300
NA	EGFR	7	54957583	54977584	down-top_ep300
NA	ENTPD6	20	25227991	25247992	up-top_ep300
NA	ERGIC1	5	172859278	172879279	up-top_ep300
NA	FAM166B	9	35508305	35528306	up-top_ep300
NA	FGL1	8	17886132	17906133	up-top_ep300
NA	FLVCR2	14	75526067	75546068	up-top_ep300
NA	GALK1	17	75683946	75703947	up-top_ep300
NA	GPRIN2	10	46514809	46534810	up-top_ep300
NA	HM13	20	31600886	31620887	up-top_ep300
NA	HSF2BP	21	43576206	43596207	up-top_ep300
NA	ID1	20	31600886	31620887	up-top_ep300
NA	IGFBP4	17	40532814	40552815	down-top_ep300
NA	ITGB4	17	75683946	75703947	up-top_ep300
NA	KRT7	12	52270473	52290474	up-top_ep300
NA	KRT80	12	52270473	52290474	down-top_ep300
NA	KRT81	12	52270473	52290474	up-top_ep300
NA	KRT83	12	52270473	52290474	up-top_ep300
NA	KRT85	12	52270473	52290474	up-top_ep300
NA	KRT86	12	52270473	52290474	up-top_ep300
NA	MCTS2P	20	31600886	31620887	down-top_ep300
NA	MFF	2	227378912	227398913	up-top_ep300
NA	MKKS	20	10342561	10362562	down-top_ep300
NA	MMD	17	55445086	55465087	up-top_ep300
NA	MRPL33	2	27789214	27809215	up-top_ep300
NA	MTUS1	8	17886132	17906133	up-top_ep300
NA	NPY4R	10	46514809	46534810	up-top_ep300
NA	NR2E3	15	71737749	71757750	up-top_ep300
NA	PBK	8	27862811	27882812	down-top_ep300
NA	PCM1	8	17886132	17906133	up-top_ep300
NA	PIGF	2	46638326	46658327	up-top_ep300
NA	PTK2	8	141008954	141028955	up-top_ep300
NA	PTPN1	20	50405784	50425785	down-top_ep300
NA	PTRH2	17	59746415	59766416	up-top_ep300
NA	PUM2	2	20428773	20448774	down-top_ep300
NA	PYGB	20	25227991	25247992	up-top_ep300
NA	RBFOX3	17	79463557	79483558	up-top_ep300
NA	RBKS	2	27789214	27809215	up-top_ep300
NA	RDX	11	110186444	110206445	down-top_ep300
NA	RECQL5	17	75683946	75703947	up-top_ep300
NA	RFLNB	17	338780	358781	down-top_ep300
NA	RHOB	2	20428773	20448774	down-top_ep300
NA	RPH3AL	17	338780	358781	up-top_ep300
NA	RPL26L1	5	172859278	172879279	up-top_ep300
NA	RPL31	2	101070484	101090485	up-top_ep300
NA	RPS6KB1	17	59827702	59847703	down-top_ep300
NA	RRP1B	21	43576206	43596207	down-top_ep300
NA	RUSC2	9	35508305	35528306	up-top_ep300
NA	SAP30BP	17	75683946	75703947	up-top_ep300
NA	SKOR1	15	67874803	67894804	down-top_ep300
NA	SLC45A1	1	8249316	8269317	up-top_ep300
NA	SLC45A4	8	141247757	141267758	up-top_ep300
NA	SLC9A8	20	49758450	49778451	up-top_ep300
NA	SLX4IP	20	10342561	10362562	down-top_ep300
NA	SMARCE1	17	40539461	40559462	down-top_ep300
NA	SMIM36	17	55445086	55465087	up-top_ep300
NA	SMIM5	17	75683946	75703947	up-top_ep300
NA	SMIM6	17	75683946	75703947	down-top_ep300
NA	SMNDC1	10	110389488	110409489	down-top_ep300
NA	SOCS5	2	46638326	46658327	up-top_ep300
NA	SYT15	10	46514809	46534810	up-top_ep300
NA	TBX3	12	114646285	114666286	down-top_ep300
NA	TCIM	8	40152544	40172545	down-top_ep300
NA	TESK1	9	35508305	35528306	up-top_ep300
NA	TM4SF20	2	227378912	227398913	down-top_ep300
NA	TNS4	17	40532814	40552815	up-top_ep300
NA	TOGARAM2	2	28942130	28962131	down-top_ep300
NA	TOP2A	17	40476291	40496292	down-top_ep300
NA	TRMT61B	2	28942130	28962131	down-top_ep300
NA	TSKU	11	76762649	76782650	up-top_ep300
NA	TTLL5	14	75526067	75546068	up-top_ep300
NA	TUBD1	17	59827702	59847703	down-top_ep300
NA	UNK	17	75683946	75703947	down-top_ep300
NA	USP40	2	233477326	233497327	up-top_ep300
NA	VMP1	17	59746415	59766416	up-top_ep300
NA	WDR43	2	28942130	28962131	down-top_ep300
NA	ZMYND8	20	47324297	47344298	up-top_ep300
