"Geneid" "ensemblid" "Length" "gene.name" "pvalue" "mean.expression" "fdr"
"ENSG00000213641.4" "ENSG00000213641" 769 "RPL7AP4" 0.362607733369343 1.5 1
"ENSG00000263893.2" "ENSG00000263893" 889 "AC080037.1" 0.014638212668099 0.173913043478261 0.22608861511865
"ENSG00000206785.1" "ENSG00000206785" 135 "SNORA15B-2" 0.786511542341646 0.369565217391304 1
"ENSG00000268941.2" "ENSG00000268941" 967 "LINC01711" 0.693454674169067 0.195652173913043 1
"ENSG00000253666.1" "ENSG00000253666" 742 "AP000424.1" 0.24704942380001 0.565217391304348 0.920103541432415
"ENSG00000280744.1" "ENSG00000280744" 331 "LINC01173" 0.0174122356467327 0.456521739130435 0.253841022531835
"ENSG00000188868.12" "ENSG00000188868" 2847 "ZNF563" 0.408154933863914 0.0217391304347826 1
"ENSG00000196167.8" "ENSG00000196167" 8733 "COLCA1" 0.817693586786684 5.56521739130435 1
"ENSG00000275022.1" "ENSG00000275022" 164 "MIR6753" 0.088242793893554 11.8695652173913 0.605065716217013
"ENSG00000196366.3" "ENSG00000196366" 2573 "C9orf163" 0.0103681205279671 8.60869565217391 0.180459002559146
"ENSG00000237200.1" "ENSG00000237200" 273 "ZBTB40-IT1" 0.563255194281823 5.39130434782609 1
"ENSG00000214144.3" "ENSG00000214144" 1941 "AL390728.1" 0.119796902907129 14.195652173913 0.699016371208888
"ENSG00000268364.1" "ENSG00000268364" 1818 "SMC5-AS1" 0.092333980254196 8.80434782608696 0.620453988914948
"ENSG00000232341.2" "ENSG00000232341" 1282 "RPL4P2" 0.36834162014212 10.2608695652174 1
"ENSG00000272367.1" "ENSG00000272367" 925 NA 0.95402208969176 4.04347826086957 1
"ENSG00000276248.1" "ENSG00000276248" 3362 "AL442125.1" 0.00945654460378123 11.3260869565217 0.169922812617498
"ENSG00000261371.4" "ENSG00000261371" 7759 "PECAM1" 0.453612774222568 3.26086956521739 1
"ENSG00000244578.1" "ENSG00000244578" 3889 "LINC01391" 0.45735595265184 3.65217391304348 1
"ENSG00000197520.9" "ENSG00000197520" 2603 "FAM177B" 0.0849809626843201 4.15217391304348 0.592632718325347
"ENSG00000254577.1" "ENSG00000254577" 183 "AC087276.1" 0.808492732375581 4.89130434782609 1
"ENSG00000178015.4" "ENSG00000178015" 2065 "GPR150" 0.59632556488176 4.28260869565217 1
"ENSG00000237380.5" "ENSG00000237380" 1429 "HOXD-AS2" 0.312309609030785 11.5869565217391 1
"ENSG00000242477.1" "ENSG00000242477" 651 "AC091429.1" 0.150430662229641 12.5434782608696 0.77592510179391
"ENSG00000236829.8" "ENSG00000236829" 2291 "Z97634.1" 0.0331101762761569 6.28260869565217 0.37470636828237
"ENSG00000214402.6" "ENSG00000214402" 4052 "LCNL1" 0.199551485192966 5.8695652173913 0.845672231760095
"ENSG00000281091.1" "ENSG00000281091" 462 "AL117327.1" 0.100539494015753 3.17391304347826 0.643757168807409
"ENSG00000270983.1" "ENSG00000270983" 337 "AL589674.1" 0.454717859679988 3.30434782608696 1
"ENSG00000167232.12" "ENSG00000167232" 10397 "ZNF91" 0.15664732943668 11.5652173913043 0.7917666089872
"ENSG00000260382.1" "ENSG00000260382" 965 "AC087481.1" 0.203288633725458 3.23913043478261 0.851489365208926
"ENSG00000266777.1" "ENSG00000266777" 2855 "SH3GL1P1" 0.229320210785565 9.21739130434783 0.901370317972044
"ENSG00000171033.11" "ENSG00000171033" 4216 "PKIA" 0.0171687348889542 12.9782608695652 0.251920570666816
"ENSG00000256453.1" "ENSG00000256453" 1605 "DND1" 0.2591575948063 10.7173913043478 0.933257976789914
"ENSG00000243960.1" "ENSG00000243960" 861 "AL390195.1" 0.795990249446301 11.5652173913043 1
"ENSG00000182179.9" "ENSG00000182179" 4545 "UBA7" 0.104400922920716 5.69565217391304 0.655819475337729
"ENSG00000266066.1" "ENSG00000266066" 3668 "POLRMTP1" 0.272861456691275 7.71739130434783 0.960398014726395
"ENSG00000263335.1" "ENSG00000263335" 836 "AF001548.2" 0.306357093236916 11.8913043478261 1
"ENSG00000273306.1" "ENSG00000273306" 626 "AC018690.1" 0.317549546833135 11.8260869565217 1
"ENSG00000272416.1" "ENSG00000272416" 759 "AC025175.1" 0.0693062198927824 3.5 0.534135717212558
"ENSG00000272606.1" "ENSG00000272606" 465 "AC015982.1" 0.13978824825834 7.23913043478261 0.752877348121919
"ENSG00000274460.1" "ENSG00000274460" 1491 "AC092119.2" 0.0471507659065578 10.1304347826087 0.458151577854454
"ENSG00000272792.1" "ENSG00000272792" 471 NA 0.301849440394521 6.26086956521739 1
"ENSG00000138675.15" "ENSG00000138675" 5998 "FGF5" 0.00664218787743903 9 0.133601413166327
"ENSG00000129167.8" "ENSG00000129167" 5626 "TPH1" 0.217394544991797 6.65217391304348 0.876987545170335
"ENSG00000167912.5" "ENSG00000167912" 1743 "AC090152.1" 0.215615401513486 3.69565217391304 0.873199212820714
"ENSG00000278861.1" "ENSG00000278861" 601 "AC117503.2" 0.898380066454559 14.1521739130435 1
"ENSG00000254295.1" "ENSG00000254295" 489 "AC008429.3" 0.00529235653241346 4 0.113946780851192
"ENSG00000237280.1" "ENSG00000237280" 688 "AL136982.3" 0.955597976669969 6.78260869565217 1
"ENSG00000261461.1" "ENSG00000261461" 550 "UBE2MP1" 0.141136895826888 3.95652173913043 0.756354646147776
"ENSG00000178623.10" "ENSG00000178623" 5089 "GPR35" 0.109120653635445 13.6521739130435 0.669161968349651
"ENSG00000181804.13" "ENSG00000181804" 4087 "SLC9A9" 0.841381227165232 3.97826086956522 1
"ENSG00000260936.1" "ENSG00000260936" 1223 NA 0.696998469642984 9.23913043478261 1
