""	chromosome	start	end	genename
"1"	10	130126391	130146392	GLRX3
"2"	X	37837571	37857572	DYNLT3
"3"	20	17952946	17972947	SNORD17
"4"	17	28354356	28374357	SARM1
"5"	14	74009349	74029350	BBOF1
"6"	9	129632169	129652170	ASB6
"7"	12	77314641	77334642	NAV3
"8"	4	165317667	165337668	MSMO1
"9"	11	62751565	62771566	POLR2G
"10"	3	3116933	3136934	TRNT1
"11"	16	30516821	30536822	ZNF768
"12"	12	104445295	104465296	CHST11
"13"	6	73685785	73705786	CD109
"14"	1	153661028	153681029	ILF2
"15"	20	1383172	1403173	FKBP1A
"16"	11	6602539	6622540	TAF10
"17"	12	12257044	12277045	LRP6
"18"	19	40708207	40728208	COQ8B
"19"	20	23352182	23372183	GZF1
"20"	1	39873511	39893512	TRIT1
"21"	1	151389560	151409561	PSMB4
"22"	16	70279663	70299664	DDX19B
"23"	11	112076824	112096825	SDHD
"24"	17	44646404	44666405	MEIOC
"25"	3	48652886	48672887	CELSR3
"26"	20	45244564	45264565	SLPI
"27"	2	227154453	227174454	COL4A4
"28"	10	84129509	84149510	GHITM
"29"	5	134894906	134914907	PCBD2
"30"	19	57379850	57399851	ZNF548
"31"	7	127578386	127598387	ARF5
"32"	16	69301350	69321351	VPS4A
"33"	6	145804795	145824796	FBXO30
"34"	9	93566584	93586585	PHF2
"35"	12	7082540	7102541	C1R
"36"	X	124316258	124336259	AL022718.1
"37"	9	137231287	137251288	TUBB4B
"38"	13	45381267	45401268	RCN1P2
"39"	3	8491807	8511808	LMCD1
"40"	10	119532719	119552720	RGS10
"41"	5	7841186	7861187	MTRR
"42"	1	28633085	28653086	TAF12
"43"	2	86710291	86730292	RMND5A
"44"	15	96315938	96335939	NR2F2
"45"	1	37783802	37803803	MANEAL
"46"	7	106276326	106296327	NAMPT
"47"	4	71052667	71072668	SLC4A4
"48"	16	89808179	89828180	SPIRE2
"49"	15	38242836	38262837	SPRED1
"50"	5	172948729	172968730	RPL26L1
"51"	X	70280514	70300515	PDZD11
"52"	1	37798208	37818209	YRDC
"53"	19	41740977	41760978	CEACAM6
"54"	1	32098056	32118057	KPNA6
"55"	17	47512942	47532943	NPEPPS
"56"	19	7626881	7646882	STXBP2
"57"	16	11787258	11807259	ZC3H7A
"58"	3	10238023	10258024	TATDN2
"59"	16	15878625	15898626	FOPNL
"60"	3	44467670	44487671	ZNF445
"61"	17	69317244	69337245	ABCA5
"62"	8	22534986	22554987	SORBS3
"63"	20	2654219	2674220	IDH3B
"64"	6	153272733	153292734	AL590867.2
"65"	22	20972269	20992270	LZTR1
"66"	15	74896883	74916884	FAM219B
"67"	2	9261628	9281629	EIF1P7
"68"	11	59132748	59152749	FAM111A
"69"	X	74411493	74431494	SLC16A2
"70"	20	38952299	38972300	DHX35
"71"	X	48791377	48811378	HDAC6
"72"	2	197506737	197526738	HSPD1
"73"	19	45592212	45612213	OPA3
