ensemblid	gene.name	chromosome	start	end	gene.regulation
ENSG00000178125	PPP1R42	8	67046604	67066605	random
ENSG00000239557	AC092045.1	3	52363652	52383653	random
ENSG00000229161	TCP1P1	7	42784906	42804907	random
ENSG00000278376	AP004609.3	11	118781254	118801255	random
ENSG00000270225	MTCO2P22	5	100043539	100063540	random
ENSG00000108786	HSD17B1	17	42539214	42559215	random
ENSG00000150637	CD226	18	69951803	69971804	random
ENSG00000212829	RPS26P3	9	9080898	9100899	random
ENSG00000243926	TIPARP-AS1	3	156664446	156684447	random
ENSG00000101307	SIRPB1	20	1610061	1630062	random
ENSG00000276846	AC016590.3	19	37305620	37325621	random
ENSG00000278765	AC004477.3	17	48057293	48077294	random
ENSG00000203546	AL139353.1	14	31447441	31467442	random
ENSG00000256238	SUPT16HP1	12	16392406	16412407	random
ENSG00000226259	GTF2H2B	5	70405352	70425353	random
ENSG00000215319	EIF5P1	X	9809469	9829470	random
ENSG00000010438	PRSS3	9	33740466	33760467	random
ENSG00000270277	AC009948.2	2	178538884	178558885	random
ENSG00000233954	UQCRHL	1	15799348	15819349	random
ENSG00000166823	MESP1	15	89741310	89761311	random
ENSG00000131400	NAPSA	19	50355830	50375831	random
ENSG00000280303	ERICD	8	140626281	140646282	random
ENSG00000174514	MFSD4A	1	205558885	205578886	random
ENSG00000220785	MTMR9LP	1	32231620	32251621	random
ENSG00000236404	VLDLR-AS1	9	2633359	2653360	random
ENSG00000221947	XKR9	8	70659365	70679366	random
ENSG00000187140	FOXD3	1	63313041	63333042	random
ENSG00000204611	ZNF616	19	52129938	52149939	random
ENSG00000210112	MT-TM	MT	0	14403	random
ENSG00000277423	AC069234.5	12	120693867	120713868	random
ENSG00000148803	FUOM	10	133348025	133368026	random
ENSG00000175564	UCP3	11	73999085	74019086	random
ENSG00000123201	GUCY1B2	13	51070862	51090863	random
ENSG00000008277	ADAM22	7	87924143	87944144	random
ENSG00000163794	UCN	2	27298445	27318446	random
ENSG00000100918	REC8	14	24161853	24181854	random
ENSG00000215895	AL354702.1	1	38698931	38718932	random
ENSG00000280063	AC012676.5	16	4338648	4358649	random
ENSG00000159685	CHCHD6	3	126694220	126714221	random
ENSG00000242689	CNTF	11	58612665	58632666	random
ENSG00000131773	KHDRBS3	8	135447456	135467457	random
ENSG00000197980	LEKR1	3	156815481	156835482	random
ENSG00000165905	LARGE2	11	45911621	45931622	random
ENSG00000102890	ELMO3	16	67189111	67209112	random
ENSG00000278175	GLIDR	9	39800097	39820098	random
ENSG00000132204	LINC00470	18	1398344	1418345	random
ENSG00000139835	GRTP1	13	113354148	113374149	random
ENSG00000260461	AL133355.1	10	103869761	103889762	random
ENSG00000105619	TFPT	19	54105675	54125676	random
ENSG00000188234	AGAP4	10	45843875	45863876	random
ENSG00000248161	AC098487.1	4	102440010	102460011	random
ENSG00000100307	CBX7	22	39142680	39162681	random
ENSG00000139192	TAPBPL	12	6441690	6461691	random
ENSG00000171159	C9orf16	9	128150265	128170266	random
ENSG00000178460	MCMDC2	8	66860749	66880750	random
ENSG00000148291	SURF2	9	133346550	133366551	random
ENSG00000273247	AC097376.2	4	139444034	139464035	random
ENSG00000139679	LPAR6	13	48434704	48454705	random
ENSG00000166153	DEPDC4	12	100257079	100277080	random
ENSG00000177721	ANXA2R	5	43033170	43053171	random
ENSG00000272644	AC097468.3	2	219059809	219079810	random
ENSG00000177459	ERICH5	8	98054522	98074523	random
ENSG00000214485	RPL7P1	5	150084302	150104303	random
ENSG00000130413	STK33	11	8584289	8604290	random
ENSG00000181982	CCDC149	4	24970204	24990205	random
ENSG00000049769	PPP1R3F	X	49259843	49279844	random
ENSG00000172771	EFCAB12	3	129418651	129438652	random
ENSG00000188766	SPRED3	19	38378421	38398422	random
ENSG00000164690	SHH	7	155802463	155822464	random
ENSG00000130813	C19orf66	19	10076122	10096123	random
ENSG00000175265	GOLGA8A	15	34427466	34447467	random
ENSG00000278456	AC015712.7	15	100879106	100899107	random
ENSG00000215895	AL354702.1	1	38698931	38718932	random
ENSG00000205571	SMN2	5	70039612	70059613	random
ENSG00000177352	CCDC71	3	49156331	49176332	random
ENSG00000127124	HIVEP3	1	42025925	42045926	random
ENSG00000197757	HOXC6	12	53980624	54000625	random
ENSG00000196646	ZNF136	19	12153064	12173065	random
ENSG00000276141	WHAMMP3	15	22654359	22674360	random
ENSG00000234072	AC074117.1	2	27346246	27366247	random
ENSG00000253731	PCDHGA6	5	141363914	141383915	random
ENSG00000133624	ZNF767P	7	149614752	149634753	random
ENSG00000273329	AC078846.1	7	129601630	129621631	random
ENSG00000089091	DZANK1	20	18457281	18477282	random
ENSG00000210196	MT-TP	MT	6023	26024	random
ENSG00000144485	HES6	2	238230662	238250663	random
ENSG00000184949	FAM227A	22	38646629	38666630	random
ENSG00000169783	LINGO1	15	77810900	77830901	random
ENSG00000279443	AL513497.1	1	28534460	28554461	random
ENSG00000197978	GOLGA6L9	15	82420018	82440019	random
ENSG00000171970	ZNF57	19	2890898	2910899	random
ENSG00000230882	AC005077.4	7	76064963	76084964	random
ENSG00000234912	SNHG20	17	77076716	77096717	random
ENSG00000253552	HOXA-AS2	7	27097777	27117778	random
ENSG00000114388	NPRL2	3	50341091	50361092	random
ENSG00000213398	LCAT	16	67934131	67954132	random
ENSG00000278291	AL161772.1	13	20693718	20713719	random
ENSG00000198746	GPATCH3	1	26890467	26910468	random
ENSG00000234975	FTH1P2	1	228677415	228697416	random
ENSG00000261040	WFDC21P	17	60081885	60101886	random
ENSG00000250321	AC079140.2	4	332962	352963	random
ENSG00000196793	ZNF239	10	43564618	43584619	random
ENSG00000037280	FLT4	5	180639624	180659625	random
ENSG00000165028	NIPSNAP3B	9	104754129	104774130	random
ENSG00000237813	AC002066.1	7	116489465	116509466	random
ENSG00000114841	DNAH1	3	52306319	52326320	random
ENSG00000196218	RYR1	19	38423699	38443700	random
ENSG00000181638	ZFP41	8	143236821	143256822	random
ENSG00000128965	CHAC1	15	40942962	40962963	random
ENSG00000196912	ANKRD36B	2	97579965	97599966	random
ENSG00000175879	HOXD8	2	176119694	176139695	random
ENSG00000168517	HEXIM2	17	45150700	45170701	random
ENSG00000128591	FLNC	7	128820377	128840378	random
ENSG00000174007	CEP19	3	196702250	196722251	random
ENSG00000162825	NBPF20	1	145395778	145415779	random
ENSG00000188112	C6orf132	6	42132620	42152621	random
ENSG00000100056	ESS2	22	19134684	19154685	random
ENSG00000184058	TBX1	22	19746703	19766704	random
ENSG00000176182	MYPOP	19	45892613	45912614	random
ENSG00000196152	ZNF79	9	127414374	127434375	random
ENSG00000175787	ZNF169	9	94249311	94269312	random
ENSG00000260401	AP002761.4	11	73228975	73248976	random
ENSG00000280987	MATR3	5	139263752	139283753	random
ENSG00000100359	SGSM3	22	40360591	40380592	random
ENSG00000165259	HDX	X	84492479	84512480	random
ENSG00000139629	GALNT6	12	51382867	51402868	random
ENSG00000148908	RGS10	10	119532719	119552720	random
ENSG00000125901	MRPS26	20	3036052	3056053	random
ENSG00000204516	MICB	6	31484881	31504882	random
ENSG00000186470	BTN3A2	6	26355159	26375160	random
ENSG00000129158	SERGEF	11	18003047	18023048	random
ENSG00000020129	NCDN	1	35547473	35567474	random
ENSG00000148225	WDR31	9	113330298	113350299	random
ENSG00000010361	FUZ	19	49807376	49827377	random
ENSG00000104497	SNX16	8	81832866	81852867	random
ENSG00000248124	RRN3P1	16	21810410	21830411	random
ENSG00000215012	RTL10	22	19844896	19864897	random
ENSG00000158411	MITD1	2	99171058	99191059	random
ENSG00000264538	SUZ12P1	17	30699299	30719300	random
ENSG00000178860	MSC	8	71834468	71854469	random
ENSG00000120725	SIL1	5	139283557	139303558	random
ENSG00000128228	SDF2L1	22	21632302	21652303	random
ENSG00000005882	PDK2	17	50084737	50104738	random
ENSG00000168067	MAP4K2	11	64793241	64813242	random
ENSG00000138617	PARP16	15	65290618	65310619	random
ENSG00000196453	ZNF777	7	149451062	149471063	random
ENSG00000276855	AC015922.3	17	15779016	15799017	random
ENSG00000114853	ZBTB47	3	42643697	42663698	random
ENSG00000131848	ZSCAN5A	19	56358383	56378384	random
ENSG00000232442	MHENCR	20	63617227	63637228	random
ENSG00000104047	DTWD1	15	49611037	49631038	random
ENSG00000166529	ZSCAN21	7	100039774	100059775	random
