""	chromosome	start	end	genename
"1"	12	6367730	6387731	SCNN1A
"2"	19	14196187	14216188	ADGRL1
"3"	13	30703478	30723479	ALOX5AP
"4"	15	89805401	89825402	ANPEP
"5"	12	50913472	50933473	METTL7A
"6"	17	8029034	8049035	ALOX15B
"7"	3	9870254	9890255	CIDEC
"8"	X	43644907	43664908	MAOA
"9"	5	31629131	31649132	PDZD2
"10"	1	209676178	209696179	HSD11B1
"11"	17	73634445	73654446	SDK2
"12"	X	19112637	19132638	ADGRG2
"13"	3	46969683	46989684	NBEAL2
"14"	12	13186723	13206724	EMP1
"15"	17	63467061	63487062	ACE
"16"	11	120175529	120195530	TRIM29
"17"	2	222414543	222434544	SGPP2
"18"	4	6683878	6703879	S100P
"19"	19	12741702	12761703	BEST2
"20"	17	7253983	7273984	CLDN7
"21"	10	69078103	69098104	SRGN
"22"	16	66908917	66928918	CDH16
"23"	16	23268231	23288232	SCNN1B
"24"	4	154580745	154600746	FGA
"25"	8	123168960	123188961	FAM83A
"26"	19	15498525	15518526	CYP4F22
"27"	19	6720562	6740563	C3
"28"	6	16228580	16248581	GMPR
"29"	15	89486589	89506590	RHCG
"30"	15	28089315	28109316	OCA2
"31"	2	200576014	200596015	AOX1
"32"	10	97761999	97782000	SFRP5
"33"	12	111024165	111044166	CUX2
"34"	19	6707742	6727743	AC008760.2
"35"	3	138584538	138604539	CEP70
"36"	4	184816818	184836819	ACSL1
"37"	12	54409266	54429267	ITGA5
"38"	1	204142044	204162045	ETNK2
"39"	16	10570632	10590633	EMP2
"40"	13	43013203	43033204	DNAJC15
"41"	12	52483257	52503258	KRT6A
"42"	22	17553450	17573451	SLC25A18
"43"	7	3291252	3311253	SDK1
"44"	10	112364018	112384019	ACSL5
"45"	2	232368724	232388725	ALPP
"46"	15	65201473	65221474	CILP
"47"	9	121360304	121380305	STOM
"48"	14	23173674	23193675	SLC7A8
"49"	5	14571792	14591793	OTULINL
"50"	12	91172824	91192825	DCN
"51"	1	225901382	225921383	LEFTY1
"52"	1	183580876	183600877	NCF2
"53"	5	149934793	149954794	PDE6A
"54"	20	37893111	37913112	VSTM2L
"55"	1	150539369	150559370	ADAMTSL4
"56"	14	94602377	94622378	SERPINA3
"57"	4	8172072	8192073	SH3TC1
"58"	13	43776908	43796909	ENOX1
"59"	13	98132562	98152563	FARP1
"60"	11	114247787	114267788	NNMT
"61"	1	116362668	116382669	ATP1A1
"62"	3	9907074	9927075	IL17RC
"63"	12	117958983	117978984	KSR2
"64"	11	114049593	114069594	ZBTB16
"65"	2	10292889	10312890	HPCAL1
"66"	12	113416301	113436302	SDS
"67"	7	100939534	100959535	MUC3A
"68"	16	56672470	56692471	MT1X
"69"	X	119140579	119160580	KIAA1210
"70"	8	61047158	61067159	CLVS1
"71"	9	92131298	92151299	LINC00475
"72"	3	194676544	194696545	FAM43A
"73"	17	75711328	75731329	ITGB4
"74"	13	46095033	46115034	CPB2
"75"	16	56598584	56618585	MT2A
"76"	20	49474297	49494298	KCNB1
"77"	12	121853596	121873597	HPD
"78"	1	25861253	25881254	PAQR7
"79"	17	40491623	40511624	TNS4
"80"	20	54060594	54080595	BCAS1
"81"	20	59290443	59310444	EDN3
"82"	2	182856637	182876638	FRZB
"83"	2	23375179	23395180	KLHL29
"84"	16	88793789	88813790	CDT1
"85"	7	100529203	100549204	AGFG2
"86"	1	8307826	8327827	SLC45A1
"87"	5	149131483	149151484	ABLIM3
"88"	11	18256260	18276261	SAA1
"89"	12	53036969	53056970	TNS2
"90"	19	47280023	47300024	C5AR1
"91"	12	65579111	65599112	LINC02454
"92"	2	209414058	209434059	MAP2
"93"	8	141298305	141318306	SLC45A4
"94"	10	4668185	4688186	MANCR
"95"	22	24235142	24255143	GGT5
"96"	17	68945392	68965393	ABCA8
"97"	1	19586979	19606980	NBL1
"98"	3	120672269	120692270	HGD
"99"	15	68422163	68442164	ITGA11
"100"	9	93048688	93068689	SUSD3
"101"	1	242514696	242534697	PLD5
"102"	6	35718583	35738584	FKBP5
"103"	10	95281012	95301013	PDLIM1
"104"	10	15022227	15042228	OLAH
"105"	17	40277879	40297880	CDC6
"106"	8	133181039	133201040	CCN4
"107"	11	61940063	61960064	BEST1
"108"	17	6546555	6566556	PITPNM3
"109"	5	31183686	31203687	CDH6
"110"	22	36229954	36249955	APOL2
"111"	9	70404624	70424625	KLF9
"112"	1	21659363	21679364	RAP1GAP
"113"	2	33426324	33446325	RASGRP3
"114"	19	6660588	6680589	TNFSF14
"115"	17	32255832	32275833	RHBDL3
"116"	10	89382546	89402547	IFIT1
"117"	11	2875773	2895774	CDKN1C
"118"	1	155182916	155202917	MUC1
"119"	16	23172745	23192746	SCNN1G
"120"	4	68366323	68386324	MT2P1
"121"	22	42711298	42731299	A4GALT
"122"	15	78801464	78821465	ADAMTS7
"123"	X	53072367	53092368	TSPYL2
"124"	1	54877195	54897196	DHCR24
"125"	3	53146009	53166010	PRKCD
"126"	9	92122398	92142399	AL354751.1
"127"	4	185946652	185966653	SORBS2
"128"	10	97562499	97582500	ANKRD2
"129"	4	8148832	8168833	ABLIM2
"130"	7	76292673	76312674	HSPB1
"131"	17	35785707	35805708	MMP28
"132"	19	47322147	47342148	C5AR2
"133"	22	31652432	31672433	PISD
"134"	12	49529030	49549031	KCNH3
"135"	18	66594138	66614139	CDH19
"136"	5	122068360	122088361	LOX
"137"	16	81228689	81248690	BCO1
"138"	7	134734252	134754253	CALD1
"139"	9	121197794	121217795	GSN
"140"	8	132856958	132876959	TG
"141"	12	7881148	7901149	SLC2A14
"142"	19	4893080	4913081	UHRF1
"143"	20	63243978	63263979	AL121827.2
"144"	11	45276341	45296342	SYT13
