ensemblid	gene.name	chromosome	start	end	gene.regulation
ENSG00000228629	AC092295.1	19	36428318	36628319	random
ENSG00000188958	UTS2B	3	191230536	191430537	random
ENSG00000259915	AC017071.1	2	186256773	186456774	random
ENSG00000235978	AC018816.1	3	4787293	4987294	random
ENSG00000127364	TAS2R4	7	141678442	141878443	random
ENSG00000095932	SMIM24	19	3380542	3580543	random
ENSG00000258940	AL132639.2	14	39167061	39367062	random
ENSG00000261229	AC021483.2	15	79744304	79944305	random
ENSG00000129214	SHBG	17	7513946	7713947	random
ENSG00000171234	UGT2B7	4	68951363	69151364	random
ENSG00000253256	AC134043.1	5	159109921	159309922	random
ENSG00000204428	LY6G5C	6	31584040	31784041	random
ENSG00000257242	LINC01619	12	92042914	92242915	random
ENSG00000145491	ROPN1L	5	10341524	10541525	random
ENSG00000262691	AC040160.1	16	67161108	67361109	random
ENSG00000248180	GAPDHP60	4	87107092	87307093	random
ENSG00000272563	AC016745.2	2	113332600	113532601	random
ENSG00000105877	DNAH11	7	21443039	21643040	random
ENSG00000261087	AP003469.4	8	101069629	101269630	random
ENSG00000278879	AP000560.1	11	74732510	74932511	random
ENSG00000164683	HEY1	8	79667857	79867858	random
ENSG00000197483	ZNF628	19	55376617	55576618	random
ENSG00000169605	GKN1	2	68874573	69074574	random
ENSG00000205517	RGL3	19	11319342	11519343	random
ENSG00000260806	AL163051.1	14	96402321	96602322	random
ENSG00000135424	ITGA7	12	55616043	55816044	random
ENSG00000175414	ARL10	5	176265487	176465488	random
ENSG00000160233	LRRC3	21	44355510	44555511	random
ENSG00000262180	OCLM	1	186301046	186501047	random
ENSG00000260274	AC068338.2	15	75268155	75468156	random
ENSG00000260000	AL133338.1	6	100781471	100981472	random
ENSG00000197536	C5orf56	5	132310636	132510637	random
ENSG00000186076	AC012085.1	12	93541586	93741587	random
ENSG00000008128	CDK11A	1	1624357	1824358	random
ENSG00000202337	RNU6-8	14	32103269	32303270	random
ENSG00000226415	TPI1P1	1	76599789	76799790	random
ENSG00000229091	HSPA8P8	7	10351311	10551312	random
ENSG00000248503	AL356235.1	X	77810741	78010742	random
ENSG00000113211	PCDHB6	5	141050022	141250023	random
ENSG00000232859	LYRM9	17	27794752	27994753	random
ENSG00000145287	PLAC8	4	83037075	83237076	random
ENSG00000260942	CAPN10-DT	2	240486699	240686700	random
ENSG00000226953	NCKAP5-AS2	2	133164968	133364969	random
ENSG00000234130	AL359263.1	X	93125015	93325016	random
ENSG00000215067	ALOX12-AS1	17	6912530	7112531	random
ENSG00000180834	MAP6D1	3	183725594	183925595	random
ENSG00000155792	DEPTOR	8	119773717	119973718	random
ENSG00000141524	TMC6	17	78032407	78232408	random
ENSG00000270344	POC1B-AS1	12	89424594	89624595	random
ENSG00000253741	LNCOC1	8	142627016	142827017	random
ENSG00000152503	TRIM36	5	115080546	115280547	random
ENSG00000166839	ANKDD1A	15	64811902	65011903	random
ENSG00000198892	SHISA4	1	201788680	201988681	random
ENSG00000182107	TMEM30B	14	61181840	61381841	random
ENSG00000273702	AC091271.1	17	59519714	59719715	random
ENSG00000240207	AC080013.1	3	158632263	158832264	random
ENSG00000139679	LPAR6	13	48344704	48544705	random
ENSG00000198746	GPATCH3	1	26800467	27000468	random
ENSG00000181016	LSMEM1	7	112380853	112580854	random
ENSG00000011677	GABRA3	X	152351315	152551316	random
ENSG00000147174	GCNA	X	71478411	71678412	random
ENSG00000180867	PDIA3P1	1	147072744	147272745	random
ENSG00000185670	ZBTB3	11	62654160	62854161	random
ENSG00000273899	NOL12	22	37581673	37781674	random
ENSG00000235472	EIF4A1P7	13	28498833	28698834	random
ENSG00000269837	IPO5P1	19	23157939	23357940	random
ENSG00000236432	AC097662.1	2	227225711	227425712	random
ENSG00000228742	LINC02577	7	106674955	106874956	random
ENSG00000131773	KHDRBS3	8	135357456	135557457	random
ENSG00000223803	RPS20P14	3	186800198	187000199	random
ENSG00000095637	SORBS1	10	95461414	95661415	random
ENSG00000227403	LINC01806	2	161144730	161344731	random
ENSG00000164898	FMC1	7	139239457	139439458	random
ENSG00000155980	KIF5A	12	57450044	57650045	random
ENSG00000165046	LETM2	8	38286207	38486208	random
ENSG00000232434	AJM1	9	136744415	136944416	random
ENSG00000186352	ANKRD37	4	185296021	185496022	random
ENSG00000148824	MTG1	10	133294094	133494095	random
ENSG00000159556	ISL2	15	76236773	76436774	random
ENSG00000181135	ZNF707	8	143584452	143784453	random
ENSG00000271361	HTATSF1P2	6	2923772	3123773	random
ENSG00000279528	AC115618.3	X	48480741	48680742	random
ENSG00000131187	F12	5	177309576	177509577	random
ENSG00000278948	AL031587.5	22	37843050	38043051	random
ENSG00000278266	AC079949.2	12	127047149	127247150	random
ENSG00000180834	MAP6D1	3	183725594	183925595	random
ENSG00000159885	ZNF222	19	43925342	44125343	random
ENSG00000162390	ACOT11	1	54442257	54642258	random
ENSG00000229692	SOS1-IT1	2	38893857	39093858	random
ENSG00000237975	FLG-AS1	1	152068125	152268126	random
ENSG00000176399	DMRTA1	9	22346824	22546825	random
ENSG00000280088	AC126474.2	12	99934074	100134075	random
ENSG00000158691	ZSCAN12	6	28299734	28499735	random
ENSG00000119559	C19orf25	19	1379556	1579557	random
ENSG00000213462	ERV3-1	7	64906743	65106744	random
ENSG00000135324	MRAP2	6	83933772	84133773	random
ENSG00000258429	PDF	16	69230588	69430589	random
ENSG00000163795	ZNF513	2	27280790	27480791	random
ENSG00000160360	GPSM1	9	136227476	136427477	random
ENSG00000111850	SMIM8	6	87222583	87422584	random
ENSG00000142173	COL6A2	21	45998097	46198098	random
ENSG00000135100	HNF1A	12	120878543	121078544	random
ENSG00000280383	Z95331.1	22	45557019	45757020	random
ENSG00000272779	AC245060.4	22	22203224	22403225	random
ENSG00000105497	ZNF175	19	51471283	51671284	random
ENSG00000167244	IGF2	11	2041238	2241239	random
ENSG00000100577	GSTZ1	14	77220996	77420997	random
ENSG00000204257	HLA-DMA	6	32869094	33069095	random
ENSG00000063438	AHRR	5	221759	421760	random
ENSG00000256940	AP001453.2	11	64145961	64345962	random
ENSG00000181458	TMEM45A	3	100392619	100592620	random
ENSG00000269028	MTRNR2L12	3	96518236	96718237	random
ENSG00000123685	BATF3	1	212599840	212799841	random
ENSG00000179859	RNF227	17	7816276	8016277	random
ENSG00000167987	VPS37C	11	61061615	61261616	random
ENSG00000185436	IFNLR1	1	24087959	24287960	random
ENSG00000197114	ZGPAT	20	63607465	63807466	random
ENSG00000244187	TMEM141	9	136691344	136891345	random
ENSG00000171943	SRGAP2C	1	121084810	121284811	random
ENSG00000161395	PGAP3	17	39596797	39796798	random
ENSG00000210194	MT-TE	MT	0	114743	random
ENSG00000156966	B3GNT7	2	231295710	231495711	random
ENSG00000179361	ARID3B	15	74441177	74641178	random
ENSG00000145882	PCYOX1L	5	149258037	149458038	random
ENSG00000164117	FBXO8	4	174184264	174384265	random
ENSG00000187189	TSPYL4	6	116154140	116354141	random
ENSG00000103227	LMF1	16	881318	1081319	random
ENSG00000241058	NSUN6	10	18559285	18759286	random
ENSG00000005882	PDK2	17	49994737	50194738	random
ENSG00000185684	EP400P1	12	131984283	132184284	random
ENSG00000151014	NOCT	4	138915781	139115782	random
ENSG00000239382	ALKBH6	19	35914239	36114240	random
ENSG00000105662	CRTC1	19	18583678	18783679	random
ENSG00000243279	PRAF2	X	48974002	49174003	random
ENSG00000176715	ACSF3	16	88988375	89188376	random
ENSG00000153443	UBALD1	16	4515027	4715028	random
ENSG00000104154	SLC30A4	15	45422755	45622756	random
ENSG00000267541	MTCO2P2	18	47753457	47953458	random
ENSG00000254858	MPV17L2	19	18093182	18293183	random
ENSG00000167487	KLHL26	19	18537025	18737026	random
ENSG00000114859	CLCN2	3	184261650	184461651	random
