ensemblid	gene.name	chromosome	start.range	end.range	gene.regulation
NA	TUBD1	17	59837304	59838057	down-top_ep300
NA	GPRIN2	10	46524107	46525094	up-top_ep300
NA	PYGB	20	25237680	25238283	up-top_ep300
NA	SLC45A4	8	141257399	141258044	up-top_ep300
NA	MMD	17	55454770	55455521	up-top_ep300
NA	TUBD1	17	59825470	59825955	down-top_ep300
NA	RBFOX3	17	79473296	79473910	up-top_ep300
NA	RPL31	2	101080176	101080830	up-top_ep300
NA	ERGIC1	5	172868999	172869600	up-top_ep300
NA	SLC45A4	8	141239342	141239862	up-top_ep300
NA	FGL1	8	17895851	17896471	up-top_ep300
NA	DCBLD2	3	98922700	98923314	up-top_ep300
NA	EGFR	7	54967308	54967844	up-top_ep300
NA	PTK2	8	141018622	141019247	up-top_ep300
NA	MKKS	20	10352291	10352777	down-top_ep300
NA	BATF	14	75535809	75536368	up-top_ep300
NA	TOGARAM2	2	28951873	28952348	up-top_ep300
NA	TBX3	12	114656022	114656595	up-top_ep300
NA	RHOB	2	20438494	20439009	up-top_ep300
NA	USP40	2	233487059	233487646	up-top_ep300
NA	PIGF	2	46648107	46648623	down-top_ep300
NA	ZMYND8	20	47334023	47334592	up-top_ep300
NA	RPL26L1	5	172901080	172901624	up-top_ep300
NA	KRT81	12	52280240	52281230	up-top_ep300
NA	SMNDC1	10	110399258	110399695	up-top_ep300
NA	SKOR1	15	67884574	67885052	up-top_ep300
NA	MRPL33	2	27798881	27799538	up-top_ep300
NA	RUSC2	9	35518109	35518508	up-top_ep300
NA	SMIM36	17	55496262	55496820	up-top_ep300
NA	RPH3AL	17	348547	349063	up-top_ep300
NA	CDC42EP3	2	37802943	37803418	up-top_ep300
NA	NR2E3	15	71747526	71747991	up-top_ep300
NA	DUSP1	5	172775506	172775994	up-top_ep300
NA	ID1	20	31610659	31611106	up-top_ep300
NA	AOPEP	9	94783221	94783627	down-top_ep300
NA	SLC45A1	1	8258904	8260028	up-top_ep300
NA	TM4SF20	2	227388741	227389120	down-top_ep300
NA	CCL20	2	227818068	227819178	up-top_ep300
NA	RPL26L1	5	172910976	172911437	up-top_ep300
NA	SLC9A8	20	49768268	49768670	up-top_ep300
NA	RDX	11	110196167	110196893	down-top_ep300
NA	PTRH2	17	59786525	59787246	up-top_ep300
NA	TNS4	17	40486051	40486709	up-top_ep300
NA	SAP30BP	17	75693568	75694198	up-top_ep300
NA	BTBD11	12	107352042	107352696	up-top_ep300
NA	ERGIC1	5	172772288	172772896	up-top_ep300
NA	CCR7	17	40549188	40549746	up-top_ep300
NA	PTRH2	17	59756163	59756734	up-top_ep300
NA	HSF2BP	21	43585961	43586461	up-top_ep300
NA	PTPN1	20	50415548	50416034	up-top_ep300
NA	TSKU	11	76772397	76772905	up-top_ep300
NA	AKR1C2	10	5009070	5009527	up-top_ep300
NA	PBK	8	27872539	27873092	down-top_ep300
NA	TCIM	8	40162306	40162775	down-top_ep300
NA	FGL1	8	17907238	17908088	up-top_ep300
NA	CCR7	17	40542478	40543127	up-top_ep300
NA	CNBD2	20	35883711	35884335	up-top_ep300
NA	KYNU	2	142873346	142873741	down-top_ep300
NA	NFKBIA	14	35374325	35374842	up-top_ep300
NA	KLF6	10	3810131	3810592	up-top_ep300
NA	SRGAP1	12	63917969	63918381	up-top_ep300
NA	NNMT	11	114179158	114179748	up-top_ep300
NA	C5AR2	19	47315356	47315735	up-top_ep300
NA	CCR7	17	40551828	40552304	up-top_ep300
NA	EHF	11	34654834	34655342	up-top_ep300
NA	ZBTB38	3	141366253	141366872	up-top_ep300
NA	TOMM20	1	235073486	235073931	down-top_ep300
NA	RNF145	5	159186247	159186744	up-top_ep300
NA	TNS4	17	40509902	40510654	up-top_ep300
NA	ID3	1	23585538	23585963	up-top_ep300
NA	GNLY	2	85708595	85709142	up-top_ep300
NA	ZBTB16	11	114154426	114154948	up-top_ep300
NA	STOM	9	121372444	121373435	up-top_ep300
NA	TCIM	8	40174486	40175279	down-top_ep300
NA	TUBD1	17	59853332	59853837	down-top_ep300
NA	CPLX2	5	175854473	175855075	up-top_ep300
NA	NR2E3	15	71752843	71753357	up-top_ep300
NA	ACSL1	4	184813267	184813896	up-top_ep300
NA	DNAH5	5	14008764	14009494	up-top_ep300
NA	TTC7A	2	46855189	46855772	up-top_ep300
NA	THADA	2	43539916	43540423	down-top_ep300
NA	AL049839.2	14	94599015	94599627	up-top_ep300
NA	CYP2A7	19	40897145	40897537	up-top_ep300
NA	NTN4	12	95805893	95806614	down-top_ep300
NA	BCL3	19	44737160	44737700	up-top_ep300
NA	TPCN2	11	69122762	69123357	up-top_ep300
NA	LURAP1L	9	12814345	12814846	up-top_ep300
NA	PTPN1	20	50440516	50441259	up-top_ep300
NA	RUSC2	9	35510967	35511537	up-top_ep300
NA	CUX1	7	101882806	101883583	up-top_ep300
NA	PDLIM1	10	95278048	95278555	up-top_ep300
NA	P4HA3	11	74278401	74279182	up-top_ep300
NA	TGFBR2	3	30597113	30597621	up-top_ep300
NA	CYP2A7	19	40920877	40921819	up-top_ep300
NA	ARF6	14	49919865	49920397	up-top_ep300
NA	ANXA2	15	60374556	60375066	up-top_ep300
NA	CYP24A1	20	54123645	54124140	down-top_ep300
NA	KRT80	12	52147314	52147782	down-top_ep300
