ensemblid	gene.name	chromosome	start_peak	end_peak	gene.regulation
ENSG00000162426	SLC45A1	1	8238248	8238501	up-top_ep300
ENSG00000162426	SLC45A1	1	8258904	8260028	up-top_ep300
ENSG00000162426	SLC45A1	1	8343415	8344035	up-top_ep300
ENSG00000162426	SLC45A1	1	8348574	8348968	up-top_ep300
ENSG00000162426	SLC45A1	1	8396931	8397349	up-top_ep300
ENSG00000143878	RHOB	2	20438494	20439009	down-top_ep300
ENSG00000143878	RHOB	2	20443506	20443825	down-top_ep300
ENSG00000143878	RHOB	2	20475077	20475326	down-top_ep300
ENSG00000143878	RHOB	2	20539297	20539677	down-top_ep300
ENSG00000143878	RHOB	2	20539965	20540355	down-top_ep300
ENSG00000171103	TRMT61B	2	28951873	28952348	down-top_ep300
ENSG00000171103	TRMT61B	2	28952544	28952883	down-top_ep300
ENSG00000168955	TM4SF20	2	227366941	227367338	down-top_ep300
ENSG00000168955	TM4SF20	2	227388741	227389120	down-top_ep300
ENSG00000168955	TM4SF20	2	227407767	227408146	down-top_ep300
ENSG00000168955	TM4SF20	2	227450312	227450716	down-top_ep300
ENSG00000173744	AGFG1	2	227388741	227389120	down-top_ep300
ENSG00000173744	AGFG1	2	227407767	227408146	down-top_ep300
ENSG00000173744	AGFG1	2	227450312	227450716	down-top_ep300
ENSG00000057019	DCBLD2	3	98906332	98906646	down-top_ep300
ENSG00000057019	DCBLD2	3	98922700	98923314	down-top_ep300
ENSG00000057019	DCBLD2	3	98914252	98914665	down-top_ep300
ENSG00000113719	ERGIC1	5	172766557	172766781	up-top_ep300
ENSG00000113719	ERGIC1	5	172775506	172775994	up-top_ep300
ENSG00000113719	ERGIC1	5	172772288	172772896	up-top_ep300
ENSG00000113719	ERGIC1	5	172771170	172771547	up-top_ep300
ENSG00000113719	ERGIC1	5	172782679	172783006	up-top_ep300
ENSG00000113719	ERGIC1	5	172777518	172777812	up-top_ep300
ENSG00000113719	ERGIC1	5	172858788	172858984	up-top_ep300
