ensemblid	gene.name	chromosome	start	end	gene.regulation
NA	A4GALT	22	42732299	42752300	up
NA	AACS	12	125070154	125090155	up
NA	AARS	16	70322176	70342177	random
NA	ABCA2	9	137047208	137067209	random
NA	ABCG1	21	42200182	42220183	random
NA	ABHD2	15	89108026	89128027	up
NA	ABLIM2	4	8091381	8111382	up
NA	ABLIM3	5	149125602	149145603	up
NA	AC002066.1	7	116561708	116581709	random
NA	AC004477.3	17	47958071	47978072	random
NA	AC005077.4	7	76098714	76118715	random
NA	AC005840.3	12	6366320	6386321	up
NA	AC008083.2	12	47202566	47222567	down
NA	AC008760.2	19	6735057	6755058	up
NA	AC015922.3	17	15840843	15860844	random
NA	AC018629.1	17	40500420	40520421	up
NA	AC078850.1	4	128650458	128670459	up
NA	AC092118.1	16	57798201	57818202	down
NA	AC097468.3	2	219115363	219135364	random
NA	AC125257.1	17	41900329	41920330	random
NA	AC131649.2	16	10510644	10530645	up
NA	AC239800.2	1	143746233	143766234	up
NA	ACOT7	1	6375876	6395877	up
NA	ACSL1	4	184803577	184823578	up
NA	ACSL3	2	222786876	222806877	up
NA	ACSL4	X	109730199	109750200	up
NA	ACSL5	10	112322685	112342686	up
NA	ACTC1	15	34706307	34726308	down
NA	ADAM17	2	9528430	9548431	down
NA	ADAMTS7	15	78788613	78808614	up
NA	ADAMTSL4	1	150558273	150578274	up
NA	ADGRG2	X	19117780	19137781	up
NA	ADGRG6	6	142366300	142386301	up
NA	ADGRL1	19	14210186	14230187	up
NA	AFF1	4	86918155	86938156	up
NA	AGFG2	7	100536037	100556038	up
NA	AGK	7	141446457	141466458	random
NA	AK3	9	4829655	4849656	random
NA	AKAP10	17	19927697	19947698	up
NA	AKAP12	6	151223087	151243088	up
NA	AL023284.4	6	136393277	136413278	down
NA	AL133355.1	10	103898482	103918483	random
NA	AL139353.1	14	31368198	31388199	random
NA	ALOX15B	17	8031378	8051379	up
NA	ALOX5AP	13	30733702	30753703	up
NA	ANKRD2	10	97586857	97606858	up
NA	ANKRD29	18	23715984	23735985	up
NA	ANLN	7	36280322	36300323	down
NA	ANPEP	15	89802361	89822362	up
NA	ANTXR1	2	68961962	68981963	down
NA	ANXA1	9	73124203	73144204	down
NA	AOX1	2	200614852	200634853	up
NA	AP1G2	14	23569758	23589759	random
NA	APH1B	15	63357645	63377646	random
NA	APOL1	22	36240419	36260420	up
NA	ARFGAP3	22	42930383	42950384	up
NA	ARHGAP10	4	147819675	147839676	random
NA	ARSJ	4	113949346	113969347	down
NA	ASB1	2	238429616	238449617	down
NA	ASF1B	19	14210186	14230187	down
NA	ASPH	8	61647404	61667405	down
NA	ASS1	9	130442056	130462057	up
NA	ATG101	12	52137527	52157528	random
